Xl,gamma,al,exp.al
 1.056500e-01,-3.162278e-02, 7.212000e+03, 1.061930e+04
 2.675000e-02,-3.162278e-02, 3.610000e+02, 3.980137e+03
 1.164750e-01,-3.162278e-02, 3.146000e+03, 1.133656e+04
 7.991250e-01,-3.162278e-02, 3.494400e+04, 3.568116e+04
 5.125500e-01,-3.162278e-02, 2.043300e+04, 2.810938e+04
 1.868000e-01,-3.162278e-02, 7.579000e+03, 1.541420e+04
 2.304250e-01,-3.162278e-02, 2.361500e+04, 1.757846e+04
 1.012000e-01,-3.162278e-02, 2.737000e+04, 1.031541e+04
 4.515000e-02,-3.162278e-02, 5.037000e+03, 5.857996e+03
 1.218000e-01,-3.162278e-02, 1.970000e+03, 1.167878e+04
 1.481500e-01,-3.162278e-02, 3.207000e+03, 1.328261e+04
 3.504250e-01,-3.162278e-02, 1.002600e+04, 2.262619e+04
 4.661250e-01,-3.162278e-02, 3.061700e+04, 2.665597e+04
 5.676000e-01,-3.162278e-02, 1.098600e+04, 2.973516e+04
 1.897250e-01,-3.162278e-02, 7.352000e+03, 1.556658e+04
 1.235000e-02,-3.162278e-02, 2.190000e+02, 2.196796e+03
 1.492500e-02,-3.162278e-02, 8.370000e+02, 2.547211e+03
 1.372500e-02,-3.162278e-02, 1.729000e+03, 2.386135e+03
 2.780000e-02,-3.162278e-02, 3.660000e+02, 4.096837e+03
 6.580000e-02,-3.162278e-02, 7.203000e+03, 7.665338e+03
 1.705000e-02,-3.162278e-02, 6.660000e+02, 2.823957e+03
 4.510000e-02,-3.162278e-02, 6.667000e+03, 5.853295e+03
 8.652500e-02,-3.162278e-02, 2.670000e+03, 9.271301e+03
 2.385250e-01,-3.162278e-02, 4.242600e+04, 1.795711e+04
 2.712500e-02,-3.162278e-02, 6.830000e+02, 4.021978e+03
 3.816250e-01,-3.162278e-02, 2.178800e+04, 2.377865e+04
 2.210000e-02,-3.162278e-02, 1.181000e+03, 3.445069e+03
 1.247250e-01,-3.162278e-02, 4.607100e+04, 1.186397e+04
 2.429500e-01,-3.162278e-02, 1.922300e+04, 1.816122e+04
 2.608250e-01,-3.162278e-02, 1.217600e+04, 1.896701e+04
 8.405000e-02,-3.162278e-02, 6.234000e+03, 9.088256e+03
 7.310750e-01,-3.162278e-02, 2.390700e+04, 3.406020e+04
 1.709750e-01,-3.162278e-02, 4.772000e+03, 1.456919e+04
 1.744250e-01,-3.162278e-02, 5.689000e+03, 1.475648e+04
 2.118750e-01,-3.162278e-02, 1.541000e+04, 1.668529e+04
 2.950000e-01,-3.162278e-02, 1.805300e+04, 2.043150e+04
 2.197000e-01,-3.162278e-02, 3.170200e+04, 1.706663e+04
 6.132500e-02,-3.162278e-02, 1.929000e+03, 7.293949e+03
 6.240750e-01,-3.162278e-02, 2.266500e+04, 3.130703e+04
 2.055500e-01,-3.162278e-02, 4.153000e+04, 1.637194e+04
 1.027500e-02,-3.162278e-02, 3.860000e+02, 1.900082e+03
 1.089500e-01,-3.162278e-02, 2.789000e+03, 1.084116e+04
 1.012500e-02,-3.162278e-02, 2.650000e+02, 1.878062e+03
 3.037500e-02,-3.162278e-02, 8.840000e+02, 4.377293e+03
 1.645000e-02,-3.162278e-02, 1.174000e+03, 2.746849e+03
 1.017750e-01,-3.162278e-02, 4.599000e+03, 1.035499e+04
 7.275250e-01,-3.162278e-02, 2.721800e+04, 3.397305e+04
