tid,gamma,trueage,freqonly
1,100.0,-106.90372,-98.67253
2,85.77,-92.04358,-85.60446
3,73.564,-79.19297,-76.6094
4,63.096,-66.75081,-65.34733
5,54.117,-56.71818,-56.43031
6,46.416,-45.34844,-45.40881
7,39.811,-38.50644,-37.6786
8,34.145,-37.1892,-37.21742
9,29.286,-29.96577,-29.60579
10,25.119,-26.55843,-27.25826
11,21.544,-23.81008,-22.30187
12,18.478,-20.51435,-19.32294
13,15.849,-17.57989,-15.87767
14,13.594,-14.34416,-12.75866
15,11.659,-12.33334,-10.98324
16,10.0,-12.17514,-10.56638
17,8.577,-9.36229,-8.34996
18,7.356,-8.20928,-6.77186
19,6.31,-7.93061,-6.54602
20,5.412,-6.16172,-5.01894
21,4.642,-5.40038,-4.50179
22,3.981,-5.37126,-4.018
23,3.415,-4.29908,-3.24121
24,2.929,-3.9974,-3.0599
25,2.512,-3.42481,-2.49856
26,2.154,-1.90054,-1.19447
27,1.848,-2.62662,-1.83169
28,1.585,-2.15179,-1.43414
29,1.359,-1.53646,-0.9659
30,1.166,-1.18412,-1.0000
31,1.0,-1.77795,-1.10918
32,0.457,-1.47579,-0.83486
33,0.152,2.12272,0.74462
34,0.023,0.49718,0.35751
35,0.0,-0.268,-0.04487
36,100.0,-109.41584,-102.7546
37,85.77,-93.38313,-89.03639
38,73.564,-79.36172,-73.14783
39,63.096,-65.96895,-63.59431
40,54.117,-54.62765,-55.1213
41,46.416,-48.42996,-47.84274
42,39.811,-40.53696,-40.83927
43,34.145,-34.55111,-33.5589
44,29.286,-30.98984,-30.74672
45,25.119,-25.69957,-25.53512
46,21.544,-24.17011,-23.03143
47,18.478,-18.88527,-17.27685
48,15.849,-17.58585,-16.33421
49,13.594,-15.24387,-14.60974
50,11.659,-13.68083,-12.1949
51,10.0,-11.70018,-10.61709
52,8.577,-9.6606,-8.19808
53,7.356,-8.89043,-7.21892
54,6.31,-7.80428,-6.59168
55,5.412,-6.40275,-5.13962
56,4.642,-5.10154,-4.05682
57,3.981,-5.35616,-4.49246
58,3.415,-4.03411,-3.11403
59,2.929,-3.3569,-2.49906
60,2.512,-3.09467,-2.29308
61,2.154,-2.59396,-1.70952
