tid,gamma,trueage,freqonly
1482,18.478,-18.15092,-18.79222
1483,15.849,-14.88012,-15.61286
1484,13.594,-14.72343,-14.02112
1485,11.659,-11.51284,-11.85876
1486,10,-10.6613,-10.80006
1487,8.577,-8.45263,-9.40575
1488,7.356,-7.14107,-7.19221
1489,6.31,-5.87524,-7.0703
1490,5.412,-5.64248,-5.11333
1491,4.642,-5.11096,-5.40494
1492,3.981,-3.77985,-3.70563
1493,3.415,-3.52741,-3.58617
1494,2.929,-2.97927,-2.93067
1495,2.512,-2.57327,-2.21316
1496,2.154,-2.27332,-2.03288
1497,1.848,-1.87876,-1.77064
1498,1.585,-1.58765,-1.22852
1499,1.359,-1.53441,-1.32851
1500,1.166,-1.21403,-1.40186
1501,1,-0.9749,-0.96958
1502,0.457,-0.38582,-0.48276
1503,0.152,-0.40994,-0.20665
1504,0.023,-0.06476,0.02762
1505,0,-0.13307,0.20922
1506,100,-97.71194,-108.0189
1507,85.77,-80.9712,-85.28152
1508,73.564,-79.33844,-86.69986
1509,63.096,-60.73475,-62.71026
1510,54.117,-56.41665,-57.17669
1511,46.416,-53.10852,-44.3481
1512,39.811,-44.83232,-38.31359
1513,34.145,-33.57075,-35.06193
1514,29.286,-29.94793,-36.09737
1515,25.119,-25.34581,-21.62569
1516,21.544,-19.99753,-22.34047
1517,18.478,-18.53958,-17.44266
1518,15.849,-15.14902,-14.8556
1519,13.594,-12.56086,-13.55875
1520,11.659,-11.30365,-12.34755
1521,10,-10.20319,-11.00301
1522,8.577,-8.88319,-7.51413
1523,7.356,-7.39901,-7.60268
1524,6.31,-5.96479,-6.4091
1525,5.412,-5.3698,-5.19129
1526,4.642,-4.77393,-4.85594
1527,3.981,-3.96317,-3.72
1528,3.415,-3.71725,-3.04583
1529,2.929,-2.72461,-3.62691
1530,2.512,-2.84728,-2.3779
1531,2.154,-2.13257,-2.31782
1532,1.848,-1.86595,-1.71039
1533,1.585,-1.5307,-1.97539
1534,1.359,-1.22205,-1.43365
1535,1.166,-1.23704,-1.22065
1536,1,-0.89202,-0.99298
1537,0.457,-0.46489,-0.31129
1538,0.152,-0.23697,0.02044
1539,0.023,0.11351,-0.08239
1540,0,0.10492,-0.20146
1541,100,-106.42871,-93.55885
1542,85.77,-81.39261,-91.01816
1543,73.564,-76.17787,-77.59045
1544,63.096,-65.2994,-67.16918
1545,54.117,-57.05161,-55.01166
1546,46.416,-44.05976,-51.90954
1547,39.811,-40.73546,-43.23313
1548,34.145,-34.67582,-32.5519
1549,29.286,-27.06467,-30.13447
1550,25.119,-25.88294,-24.92522
1551,21.544,-23.24134,-23.1681
1552,18.478,-19.71879,-16.21999
1553,15.849,-15.7688,-17.42929
1554,13.594,-13.76184,-13.44942
1555,11.659,-11.58115,-11.90339
1556,10,-9.26665,-10.05489
1557,8.577,-8.51039,-9.06372
1558,7.356,-7.35901,-7.03409
1559,6.31,-5.96239,-5.9141
1560,5.412,-5.81474,-5.3549
1561,4.642,-4.06782,-4.48929
1562,3.981,-4.21483,-3.82665
1563,3.415,-4.01179,-3.5572
1564,2.929,-3.05203,-2.86345
