tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-149.93237,-74.25922,-85.47369,-47.03543,-43.50356
2,74.989,-96.8004,-49.91794,-29.39632,-41.76973,-41.36905
3,56.423,-51.90572,-8.43277,-25.65746,-28.93639,-33.99491
4,42.17,-36.42877,-23.95704,-29.9301,-32.42243,-34.36156
5,31.623,-26.89752,-16.94884,-24.00362,-25.98728,-29.45376
6,23.714,-14.45642,-11.51196,-15.67157,-11.63298,-11.95291
7,17.783,-14.85902,-11.87444,-14.77429,-12.49278,-13.01485
8,13.335,-13.45522,-9.46803,-15.03719,-14.14042,-15.25825
9,10,-7.72344,-6.59876,-8.30151,-8.19114,-8.87363
10,7.499,-5.94748,-5.65089,-6.79272,-5.78646,-5.86416
11,5.623,-4.39367,-4.24211,-4.98394,-4.4162,-4.3662
12,4.217,-4.10249,-3.64115,-4.87519,-4.3365,-4.60646
13,3.162,-2.55055,-2.92608,-3.30013,-2.62079,-2.40336
14,2.371,-1.66668,-1.7357,-2.10603,-1.67188,-1.53065
15,1.778,-1.37086,-1.44726,-1.91414,-1.34346,-1.08089
16,1.334,-1.38197,-1.4999,-1.8088,-1.47579,-1.2964
17,1,-1.02742,-1.26545,-1.5651,-1.0775,-0.77536
18,0.332,-0.35217,-0.55406,-0.7384,-0.4353,-0.10758
19,0.005,0.24113,0.61902,2.17473,0.18235,0.65318
20,0,0.47632,-4.39471,-5.14182,-3.69792,-3.41037
21,100,-62.49727,-16.26033,-32.48916,-28.47556,-32.63611
22,74.989,-67.00415,-46.94604,-55.75059,-47.01572,-50.39361
23,56.423,-51.12257,-20.73136,-29.02764,-33.93509,-36.66126
24,42.17,-24.37476,-7.86811,-21.76933,-17.52206,-17.91053
25,31.623,-20.65012,-14.03334,-22.84587,-20.44517,-21.38132
26,23.714,-23.21505,-12.47249,-23.43527,-19.5621,-21.15222
27,17.783,-16.07847,-9.74245,-13.67999,-15.69366,-17.4545
28,13.335,-9.94583,-6.91339,-9.03317,-8.08749,-8.59449
29,10,-8.72568,-7.26623,-9.05693,-7.98338,-8.07503
30,7.499,-6.49995,-6.72008,-8.33711,-6.53654,-6.5668
31,5.623,-5.42258,-5.10684,-5.97093,-4.74964,-4.71679
32,4.217,-3.01032,-2.97122,-3.80036,-3.27035,-3.16604
33,3.162,-2.79323,-2.99706,-3.48096,-2.8229,-2.6986
34,2.371,-2.12248,-2.27085,-2.82288,-2.2037,-1.99757
35,1.778,-1.80746,-1.87671,-2.41099,-1.8787,-1.69903
36,1.334,-1.1279,-0.99172,-1.48462,-1.03947,-0.71311
37,1,-0.90477,-1.11624,-1.33679,-0.88406,-0.58871
38,0.332,-0.41911,-0.40991,-0.68866,-0.46349,-0.08808
