tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-83.23798,0,0,-39.01355,0
2,74.989,,,,,
3,56.423,-54.82336,0,0,-62.30946,0
4,42.17,-29.02717,0,0,-53.22292,0
5,31.623,-27.35269,0,0,-28.65722,0
6,23.714,-22.023,0,0,-41.25988,0
7,17.783,-12.93771,0,0,-13.17999,0
8,13.335,-13.27038,0,0,-14.01366,0
9,10,-10.33062,0,0,-10.7413,0
10,7.499,-8.883,0,0,-8.60493,0
11,5.623,-6.36804,0,0,-7.39515,0
12,4.217,-3.85906,0,0,-4.2122,0
13,3.162,-3.17161,0,0,-3.37836,0
14,2.371,-2.25401,0,0,-2.29253,0
15,1.778,-2.04867,0,0,-2.13907,0
16,1.334,-1.25953,0,0,-1.49182,0
17,1,-1.115,0,0,-1.23452,0
18,0.332,-0.19652,0,0,-0.22989,0
19,0.005,0.24305,0,0,0.20129,0
20,0,-0.36915,0,0,-0.42305,0
21,100,-91.95241,0,0,-232.03596,0
22,74.989,-75.77957,0,0,-62.70464,0
23,56.423,-46.48139,0,0,-27.39265,0
24,42.17,-21.77529,0,0,-56.38291,0
25,31.623,-33.95427,0,0,-32.57439,0
26,23.714,-24.45245,0,0,-36.5323,0
27,17.783,-16.94851,0,0,-16.56126,0
28,13.335,-14.27184,0,0,-16.00159,0
29,10,-9.68337,0,0,-11.14492,0
30,7.499,-7.34025,0,0,-7.50557,0
31,5.623,-6.25127,0,0,-6.53467,0
32,4.217,-4.89146,0,0,-6.00823,0
33,3.162,-3.2287,0,0,-3.39024,0
34,2.371,-2.70695,0,0,-2.76749,0
35,1.778,-2.06579,0,0,-2.25863,0
36,1.334,-1.34425,0,0,-1.51601,0
37,1,-1.16572,0,0,-1.16928,0
38,0.332,-0.17141,0,0,-0.26767,0
39,0.005,0.06265,0,0,0.04843,0
40,0,-0.01349,0,0,-0.13073,0
41,100,-110.27261,0,0,-70.60935,0
42,74.989,-78.78479,0,0,-184.54497,0
43,56.423,-52.52136,0,0,-47.90063,0
44,42.17,-20.85242,0,0,-36.08117,0
45,31.623,-33.27301,0,0,-39.80236,0
46,23.714,-19.68338,0,0,-32.10852,0
