tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
787,17.783,-17.59684,-13.83275,-19.49944,-17.02545,-22.67065
788,13.335,-12.55702,-9.89176,-14.56192,-14.32126,-17.24681
789,10,-9.50263,-8.64555,-11.062,-9.88955,-12.63324
790,7.499,-6.9903,-6.30763,-7.88068,-7.14564,-9.01829
791,5.623,-5.41947,-5.29398,-6.49454,-5.72384,-7.18319
792,4.217,-3.68261,-3.67899,-4.43729,-3.84584,-4.81362
793,3.162,-3.09694,-3.34319,-3.77243,-3.17874,-4.09701
794,2.371,-2.06068,-2.20025,-2.63713,-2.23541,-2.88811
795,1.778,-1.87346,-2.01051,-2.27762,-1.85665,-2.48796
796,1.334,-1.39705,-1.58222,-1.84221,-1.45683,-2.02058
797,1,-0.78925,-0.88202,-1.08278,-0.88776,-1.28713
798,0.332,-0.24016,-0.24349,-0.48277,-0.30464,-0.61651
799,0.005,-0.157,-0.14484,-0.41329,-0.2403,-0.53122
800,0,0.1492,-4.51183,-5.12829,-3.94084,-5.5234
801,100,-96.59635,-36.33664,-95.71625,-104.13734,-119.13879
802,74.989,-74.93337,-40.19542,-77.44623,-76.71528,-95.43316
803,56.423,-53.61907,-24.48693,-51.77184,-56.05402,-64.93456
804,42.17,-41.91329,-24.87706,-41.85953,-42.35381,-50.51903
805,31.623,-28.811,-18.93291,-28.67462,-28.49935,-34.97888
806,23.714,-27.04465,-15.8621,-26.36842,-26.61919,-31.58211
807,17.783,-17.14621,-11.64882,-18.52657,-18.22688,-21.95932
808,13.335,-13.23277,-10.74272,-15.00628,-13.75833,-17.86191
809,10,-9.17325,-8.35376,-11.47787,-10.25163,-13.22327
810,7.499,-7.7559,-6.83255,-8.95172,-8.35567,-10.17127
811,5.623,-5.84987,-5.57703,-6.77189,-6.01752,-7.49266
812,4.217,-4.3849,-4.57635,-5.40611,-4.57656,-5.90525
813,3.162,-3.11272,-3.22879,-3.76127,-3.18978,-4.07379
814,2.371,-2.39863,-2.3506,-2.67954,-2.35334,-2.95008
815,1.778,-1.67268,-1.77703,-2.21111,-1.79293,-2.40958
816,1.334,-1.34315,-1.35828,-1.72435,-1.44869,-1.9473
817,1,-0.91939,-1.03827,-1.35482,-1.00159,-1.52517
818,0.332,-0.45579,-0.51907,-0.7314,-0.5326,-0.91009
819,0.005,0.02637,0.24057,0.00923,-0.032,-0.01743
820,0,-38.23243,-24.60156,-39.88548,-33.21836,-46.37498
821,100,-95.30146,-46.89184,-86.77264,-90.56016,-108.50265
822,74.989,-85.95239,-42.11205,-78.66164,-77.8701,-96.79813
823,56.423,-56.82381,-30.13991,-58.02931,-52.38947,-70.06089
824,42.17,-38.25317,-28.14371,-46.50571,-49.17292,-56.05729
825,31.623,-31.21714,-20.40884,-31.35255,-32.44791,-37.67903
826,23.714,-21.78093,-14.96397,-26.05971,-26.85826,-31.60152
827,17.783,-16.65216,-11.58573,-17.71085,-18.44594,-21.09627
828,13.335,-12.59596,-9.38031,-13.6518,-12.30386,-15.51172
829,10,-10.16287,-8.20366,-10.99665,-10.3033,-12.6254
830,7.499,-6.80673,-6.21197,-7.50543,-6.40784,-8.38929
831,5.623,-5.96793,-4.85288,-6.49442,-5.84995,-7.24476
832,4.217,-4.2775,-4.38582,-5.22874,-4.50887,-5.7381
833,3.162,-3.13977,-2.98514,-3.41832,-2.83934,-3.69055
834,2.371,-2.21731,-2.06534,-2.46607,-2.04233,-2.68319
835,1.778,-1.98614,-2.15169,-2.4494,-2.08124,-2.70942
836,1.334,-1.62393,-1.83058,-2.10514,-1.6439,-2.29826
837,1,-1.05228,-1.04833,-1.40814,-1.15674,-1.60232
838,0.332,-0.51289,-0.44077,-0.79371,-0.5664,-0.95901
839,0.005,0.20703,0.35089,0.28586,0.13706,3.04817
840,0,-36.34283,-17.07994,-34.49667,-32.75309,-40.90736
841,100,-94.04476,-36.77732,-104.18531,-106.10447,-133.35629
842,74.989,-78.87754,-31.89873,-65.78905,-65.6098,-79.36328
843,56.423,-55.13891,-31.45141,-55.43895,-58.63513,-67.5405
844,42.17,-37.15792,-22.53164,-40.71889,-41.45383,-50.26154
845,31.623,-28.09181,-17.88929,-28.83176,-30.74688,-34.94072
846,23.714,-22.96623,-19.08125,-26.9411,-24.91412,-32.24407
847,17.783,-18.78861,-13.14824,-19.82255,-18.49937,-23.76572
848,13.335,-11.94367,-9.56554,-12.48454,-12.12866,-14.5105
849,10,-10.38179,-8.49537,-11.59482,-10.945,-13.41443
850,7.499,-7.73437,-6.93945,-8.88017,-8.15843,-10.11704
851,5.623,-5.68738,-5.10393,-6.55102,-5.93715,-7.35647
852,4.217,-4.36763,-4.90719,-5.7067,-5.5524,-6.31755
853,3.162,-2.83979,-3.06815,-3.4968,-3.03906,-3.7663
854,2.371,-2.32083,-2.50997,-2.91508,-2.5441,-3.21801
855,1.778,-1.89819,-1.90811,-2.28691,-2.05997,-2.57258
856,1.334,-1.38153,-1.45114,-1.77257,-1.4878,-1.97589
857,1,-1.10091,-1.15276,-1.46755,-1.14519,-1.63287
858,0.332,-0.01251,0.16922,-0.14955,-0.07034,-0.23403
859,0.005,0.17009,0.38691,0.20347,0.09773,2.70248
860,0,-4.01607,-8.16368,-10.21647,-8.0493,-11.57961
861,100,-96.56025,-52.26404,-112.94213,-112.61033,-139.62674
862,74.989,-74.38351,-33.1424,-78.2719,-75.34501,-96.63056
863,56.423,-59.87714,-40.46597,-63.84269,-61.20907,-77.20906
864,42.17,-43.01171,-28.90504,-47.51942,-43.76513,-56.95288
865,31.623,-29.439,-21.48452,-30.92257,-30.05571,-37.55823
866,23.714,-22.8966,-15.51503,-24.52557,-21.75173,-28.54864
867,17.783,-19.83748,-13.28363,-20.03451,-19.27934,-23.93409
868,13.335,-13.15914,-9.6329,-13.71939,-12.84666,-15.98561
869,10,-10.12191,-8.01938,-11.21236,-10.94622,-13.16389
870,7.499,-7.44906,-6.24595,-8.24091,-7.44332,-9.44176
871,5.623,-5.6064,-5.10491,-6.11063,-5.53021,-6.85989
872,4.217,-3.67378,-3.77648,-4.46576,-3.65011,-4.87579
873,3.162,-3.55289,-3.44302,-3.94365,-3.36009,-4.25888
874,2.371,-2.12563,-2.08597,-2.47264,-2.23073,-2.73992
875,1.778,-1.95022,-2.08497,-2.46604,-2.04548,-2.70361
876,1.334,-1.53807,-1.69178,-1.98691,-1.68549,-2.19657
877,1,-0.75071,-0.8418,-1.14971,-0.84727,-1.31205
878,0.332,0.04258,0.23108,0.0147,-0.01395,-0.00106
879,0.005,0.05422,0.36304,0.04818,-0.00354,0.04463
880,0,-28.81452,-18.92637,-27.54363,-27.18698,-30.86466
881,100,NaN,NaN,NaN,NaN,NaN
882,74.989,-80.26103,-39.42649,-70.16668,-75.44009,-85.577
883,56.423,-51.82943,-27.33053,-55.68892,-53.85086,-68.24615
884,42.17,-46.65879,-23.71988,-47.29635,-45.94665,-57.22726
885,31.623,-33.95211,-24.65549,-40.04071,-40.06447,-48.14135
886,23.714,-24.6509,-15.9723,-24.56553,-24.54808,-28.84508
887,17.783,-18.25454,-13.06227,-18.63202,-18.48625,-22.36155
888,13.335,-12.81985,-10.76417,-14.56804,-14.01818,-17.23064
889,10,-11.01367,-9.87801,-12.63262,-11.73014,-14.57002
890,7.499,-6.80881,-6.30413,-7.60472,-6.68101,-8.43119
891,5.623,-5.61449,-5.43805,-6.52386,-6.05565,-7.20233
892,4.217,-3.99392,-3.84059,-4.43876,-4.14155,-4.84683
893,3.162,-3.04293,-3.33713,-3.90667,-3.324,-4.29234
