tid,gamma,trueage,freqonly
1,100,-118.99652,-102.66759
2,85.77,-98.63913,-91.71505
3,73.564,-81.87639,-78.27561
4,63.096,-73.90538,-65.87335
5,54.117,-59.5374,-55.85362
6,46.416,-54.60557,-50.08005
7,39.811,-43.71001,-41.32362
8,34.145,-41.32067,-38.5454
9,29.286,-31.97908,-28.62322
10,25.119,-28.66256,-24.77567
11,21.544,-25.5953,-22.79825
12,18.478,-24.10037,-19.4751
13,15.849,-20.11361,-16.80537
14,13.594,-16.56888,-13.63528
15,11.659,-14.86815,-12.56891
16,10,-12.62059,-10.3757
17,8.577,-10.53117,-8.72126
18,7.356,-9.23685,-7.65812
19,6.31,-6.62263,-5.00904
20,5.412,-5.29394,-4.10861
21,4.642,-4.40641,-2.6755
22,3.981,-3.40961,-2.08264
23,3.415,-0.94906,0.37871
24,2.929,-1.76089,-0.57119
25,2.512,-1.02611,0.32223
26,2.154,-0.61981,0.74329
27,1.848,0.20935,1.73648
28,1.585,-0.57009,0.95024
29,1.359,1.6466,3.23207
30,1.166,0.09445,1.3155
31,1,2.47879,4.42885
32,0.457,1.45393,3.27933
33,0.152,3.61446,5.84633
34,0.023,3.01172,5.25904
35,0,3.85326,6.00228
36,100,-117.51681,-102.71202
37,85.77,-94.06726,-85.6635
38,73.564,-84.82525,-78.01498
39,63.096,-78.58782,-72.47797
40,54.117,-59.06872,-54.92398
41,46.416,-51.9068,-50.37229
42,39.811,-42.47584,-40.28377
43,34.145,-38.28767,-35.76334
44,29.286,-32.05538,-28.36386
45,25.119,-27.73949,-24.62956
46,21.544,-24.10024,-20.39063
47,18.478,-22.01305,-18.13642
48,15.849,-18.22702,-14.92976
49,13.594,-16.90098,-13.80532
50,11.659,-14.50992,-11.65516
51,10,-12.58889,-9.82609
52,8.577,-9.7751,-7.80402
53,7.356,-9.76667,-7.78548
54,6.31,-7.57014,-6.40208
55,5.412,-6.05609,-4.64495
56,4.642,-5.16015,-3.8888
57,3.981,-3.44062,-2.44827
58,3.415,-1.94471,-0.69406
59,2.929,-2.48544,-1.4275
