tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-94.37713,-39.50468,-82.60774,-81.21572,-80.85827
2,74.989,-66.09062,-34.76607,-70.16695,-69.00986,-65.63499
3,56.423,-57.93469,-27.87188,-62.37706,-61.04051,-57.21613
4,42.17,-41.06688,-24.84151,-44.35544,-44.24407,-43.66343
5,31.623,-31.68096,-17.8435,-31.71643,-31.85568,-32.9257
6,23.714,-18.73726,-11.91187,-20.93252,-19.78642,-19.77393
7,17.783,-18.52039,-13.26078,-19.78621,-19.57705,-20.11573
8,13.335,-13.68473,-10.83338,-15.40319,-14.47614,-14.98152
9,10,-8.80596,-7.12413,-9.45038,-9.32488,-9.71164
10,7.499,-7.02248,-6.69849,-8.13361,-7.45962,-7.3299
11,5.623,-5.14157,-4.85801,-5.78453,-5.34537,-5.24512
12,4.217,-4.115,-3.8081,-4.82504,-4.3699,-4.53975
13,3.162,-2.60431,-2.79247,-3.20929,-2.64922,-2.46566
14,2.371,-1.97975,-2.05537,-2.34691,-1.99767,-1.83112
15,1.778,-1.42237,-1.44126,-1.84495,-1.40066,-1.17018
16,1.334,-1.32385,-1.37375,-1.69489,-1.38088,-1.23235
17,1,-1.22311,-1.41728,-1.6568,-1.27457,-1.02104
18,0.332,-0.52286,-0.6861,-0.84356,-0.60713,-0.34937
19,0.005,0.01779,0.15565,-0.07711,-0.04585,0.3435
20,0,-1.04782,-4.66506,-5.50179,-4.27747,-3.96666
21,100,-92.27454,-53.14518,-94.32517,-82.07203,-78.96379
22,74.989,-79.22996,-43.53105,-90.40581,-96.8109,-96.25807
23,56.423,-54.48126,-28.72417,-51.90007,-50.12282,-47.13144
24,42.17,-36.24821,-19.60712,-36.45823,-35.77742,-35.11692
25,31.623,-30.51986,-18.43848,-33.0374,-33.96806,-34.26135
26,23.714,-23.39398,-15.82333,-26.19277,-23.65702,-23.42331
27,17.783,-17.5848,-11.89206,-17.65933,-18.61429,-18.97353
28,13.335,-12.90668,-9.57998,-12.83833,-12.2352,-11.86351
29,10,-9.52639,-8.38367,-10.72046,-9.86096,-9.58486
30,7.499,-7.57891,-7.30289,-9.22632,-8.05898,-8.08249
31,5.623,-5.84034,-5.36319,-6.40185,-5.45504,-5.35026
32,4.217,-3.78498,-3.85609,-4.54113,-4.09468,-3.86324
33,3.162,-2.93168,-3.03007,-3.52093,-2.99591,-2.88917
34,2.371,-2.35105,-2.50317,-2.97047,-2.45104,-2.23168
35,1.778,-2.15266,-2.23617,-2.69712,-2.29372,-2.13077
36,1.334,-1.32696,-1.23132,-1.61792,-1.27016,-0.98232
37,1,-0.92129,-1.09898,-1.26974,-0.92339,-0.66844
38,0.332,-0.49848,-0.48642,-0.76692,-0.55645,-0.26412
39,0.005,-0.03461,-0.00036,-0.21208,-0.1088,0.29193
40,0,-0.10665,-4.38725,-5.01688,-3.84088,-3.56777
41,100,-97.97281,-47.87999,-100.66005,-99.27861,-96.97014
42,74.989,-78.42166,-32.36351,-84.01785,-80.21674,-77.47356
43,56.423,-54.36121,-26.58436,-50.91727,-50.28358,-49.61122
44,42.17,-41.29748,-26.23199,-43.26088,-45.57703,-44.5256
45,31.623,-33.92847,-21.15286,-37.53917,-35.15775,-34.81662
46,23.714,-24.05739,-17.8991,-27.84539,-26.46348,-26.53282
47,17.783,-16.73713,-11.82152,-17.2711,-15.90043,-14.94772
48,13.335,-11.59247,-9.29959,-12.57726,-12.04254,-12.06683
49,10,-11.22533,-9.13778,-11.87897,-11.36005,-11.39149
50,7.499,-8.23334,-6.42115,-9.15621,-8.69195,-8.90275
51,5.623,-5.35974,-4.85955,-5.90054,-5.32138,-5.11551
52,4.217,-4.30017,-3.7397,-4.57552,-4.03518,-3.91815
53,3.162,-2.98145,-2.98618,-3.41183,-3.03294,-2.92272
54,2.371,-2.22422,-2.23677,-2.52539,-2.21538,-2.05447
55,1.778,-1.63258,-1.64894,-2.04924,-1.67809,-1.48654
56,1.334,-1.01499,-1.06889,-1.40322,-1.10277,-0.83106
57,1,-0.86917,-0.84759,-1.22162,-0.96536,-0.72164
58,0.332,-0.4264,-0.50045,-0.75907,-0.49908,-0.09785
59,0.005,0.2773,0.66405,0.68866,0.20865,0.63516
60,0,0.59763,-5.87563,-7.19196,-5.59981,-5.31464
61,100,NaN,NaN,NaN,NaN,NaN
62,74.989,-76.29038,-39.24463,-76.7876,-73.7825,-73.16165
63,56.423,-55.83011,-31.39871,-54.0791,-55.6639,-54.02323
64,42.17,-36.2851,-21.17179,-36.22348,-39.15806,-38.63988
65,31.623,-27.81974,-18.0827,-26.6046,-25.85874,-24.80094
66,23.714,-22.51411,-16.3385,-24.84214,-24.51326,-24.41487
67,17.783,-18.85257,-11.52082,-21.09598,-22.85935,-24.96807
68,13.335,-13.44584,-11.11304,-14.64209,-12.6486,-12.31824
69,10,-9.57475,-7.77312,-10.07331,-9.67535,-9.6596
70,7.499,-8.15621,-7.4523,-9.74758,-8.75423,-8.579
71,5.623,-5.18829,-5.14599,-6.39735,-5.75419,-5.69359
72,4.217,-3.46109,-3.81227,-4.47176,-3.97804,-3.79541
73,3.162,-3.27978,-3.3067,-3.75157,-3.23457,-3.09501
74,2.371,-2.51036,-2.53,-2.93495,-2.57355,-2.40603
75,1.778,-1.86012,-1.93228,-2.24027,-1.89743,-1.68515
76,1.334,-1.10326,-1.27408,-1.53427,-1.2903,-1.09531
77,1,-0.91322,-0.82359,-1.25228,-1.00091,-0.78712
78,0.332,-0.20485,-0.13738,-0.42706,-0.28739,0.02539
79,0.005,-0.15239,0.00099,-0.36379,-0.24229,0.08069
80,0,-0.50787,-4.47929,-5.09636,-3.96347,-3.65348
81,100,-99.32698,-44.59585,-102.72263,-110.22009,-111.85405
82,74.989,-65.99868,-39.5573,-67.07623,-68.66522,-67.84107
