tid,gamma,trueage,relmid,impsamp,freqonly
1001,100,-114.566,-73.068,-114.369,-117.467
1002,74.989,-74.34,-48.711,-72.5,-76.551
1003,56.423,-36.352,-23.487,-34.817,-29.835
1004,42.17,-40.788,-31.894,-41.983,-38.499
1005,31.623,-30.478,-22.519,-30.459,-29.754
1006,23.714,-23.822,-18.231,-26.98,-25.614
1007,17.783,-17.322,-13.7,-17.884,-17.079
1008,13.335,-14.266,-10.571,-14.497,-14.305
1009,10,-9.527,-8.359,-10.308,-9.797
1010,7.499,-7.435,-6.695,-7.777,-7.075
1011,5.623,-4.136,-3.986,-4.305,-3.467
1012,4.217,-4.411,-4.342,-4.706,-4.25
1013,3.162,-3.279,-3.281,-3.579,-3.233
1014,2.371,-2.167,-2.344,-2.483,-2.192
1015,1.778,-1.799,-1.932,-2.031,-1.716
1016,1.334,-1.291,-1.406,-1.463,-1.224
1017,1,-1.092,-1.259,-1.293,-1.056
1018,0.332,-0.349,-0.481,-0.492,-0.264
1019,0.005,-0.155,-0.233,-0.246,-0.051
1020,0,-2.266,-2.522,-2.634,-2.548
1021,100,-104.714,-62.37,-100.906,-105.481
1022,74.989,-75.136,-41.814,-75.21,-77.581
1023,56.423,-37.413,-23.834,-33.879,-29.83
1024,42.17,-39.185,-24.774,-37.422,-38.538
1025,31.623,-33.253,-23.742,-33.349,-35.107
1026,23.714,-25.278,-16.926,-24.74,-24.91
1027,17.783,-17.634,-13.34,-18.202,-17.03
1028,13.335,-12.894,-10.005,-13.424,-13.49
1029,10,-10.967,-9.264,-11.051,-10.393
1030,7.499,-7.841,-7.349,-9.081,-8.497
1031,5.623,-4.275,-3.923,-4.3,-3.634
1032,4.217,-3.785,-3.854,-4.336,-3.824
1033,3.162,-3.047,-3.006,-3.326,-3.022
1034,2.371,-2.734,-2.87,-3.056,-2.68
1035,1.778,-1.705,-1.772,-1.817,-1.604
1036,1.334,-1.497,-1.704,-1.774,-1.487
1037,1,-1.297,-1.434,-1.492,-1.235
1038,0.332,-0.367,-0.534,-0.547,-0.269
1039,0.005,-0.213,-0.382,-0.391,-0.132
1040,0,-2.742,-3.001,-3.141,-3.064
1041,100,-106.265,-73.681,-108.023,-110.695
1042,74.989,-72.829,-48.397,-69.895,-71.944
1043,56.423,-39.272,-27.219,-35.835,-30.318
1044,42.17,-45.725,-26.457,-43.961,-42.717
1045,31.623,-31.517,-23.887,-32.107,-31.955
1046,23.714,-23.739,-17.515,-25.033,-25.24
1047,17.783,-18.224,-12.307,-17.129,-18.035
1048,13.335,-12.216,-10.013,-12.581,-12.26
1049,10,-10.193,-8.853,-10.401,-9.92
1050,7.499,-7.322,-6.393,-7.706,-7.178
1051,5.623,-3.693,-3.411,-3.713,-3.245
1052,4.217,-4.564,-5.198,-5.875,-5.74
1053,3.162,-2.702,-2.978,-3.237,-2.771
1054,2.371,-2.354,-2.397,-2.589,-2.227
1055,1.778,-1.81,-1.858,-1.958,-1.757
1056,1.334,-1.292,-1.485,-1.541,-1.215
1057,1,-1.083,-1.253,-1.298,-1.006
1058,0.332,-0.696,-0.87,-0.902,-0.636
1059,0.005,-0.399,-0.566,-0.578,-0.348
1060,0,-2.319,-2.654,-2.753,-2.619
1061,100,-105.738,-69.55,-112.384,-118.866
1062,74.989,-75.506,-48.766,-73.24,-75.005
1063,56.423,-37.139,-27.026,-33.659,-29.621
1064,42.17,-48.806,-32.112,-47.356,-48.706
1065,31.623,-31.064,-22.24,-30.3,-29.399
1066,23.714,-26.449,-20.322,-27.406,-27.704
1067,17.783,-16.572,-13.736,-16.938,-16.16
1068,13.335,-12.622,-9.738,-12.506,-12.309
1069,10,-10.133,-9.385,-10.951,-9.647
1070,7.499,-7.509,-6.793,-7.95,-7.466
1071,5.623,-3.999,-3.892,-4.269,-3.4
1072,4.217,-3.878,-3.866,-4.364,-3.783
1073,3.162,-3.042,-3.005,-3.27,-2.955
1074,2.371,-2.214,-2.39,-2.516,-2.277
1075,1.778,-2.167,-2.397,-2.537,-2.186
1076,1.334,-1.444,-1.705,-1.76,-1.408
1077,1,-1,-1.174,-1.204,-0.961
1078,0.332,-0.187,-0.238,-0.255,-0.083
1079,0.005,-0.289,-0.347,-0.364,-0.19
1080,0,-2.538,-2.858,-3.003,-2.943
1081,100,-96.678,-62.947,-94.181,-96.191
1082,74.989,-73.762,-48.443,-72.881,-73.341
1083,56.423,-35.569,-25.109,-32.406,-27.361
1084,42.17,-46.696,-32.662,-45.849,-44.757
1085,31.623,-30.727,-21.007,-31.301,-32.723
1086,23.714,-26.254,-18.029,-25.505,-25.354
1087,17.783,-17.677,-12.079,-17.107,-16.712
1088,13.335,-11.602,-10.649,-12.401,-11.993
1089,10,-10.235,-8.337,-10.321,-10.126
1090,7.499,-8.421,-7.679,-8.812,-8.203
1091,5.623,-3.576,-3.319,-3.704,-3.188
1092,4.217,-4.439,-4.437,-4.991,-4.521
1093,3.162,-3.052,-3.191,-3.392,-2.974
1094,2.371,-2.448,-2.667,-2.887,-2.495
1095,1.778,-1.792,-1.945,-2.036,-1.775
1096,1.334,-1.178,-1.312,-1.353,-1.054
1097,1,-1.098,-1.282,-1.316,-1.033
1098,0.332,-0.358,-0.53,-0.545,-0.26
1099,0.005,0.089,0.086,0.076,0.199
1100,0,-2.238,-2.563,-2.651,-2.591
1101,100,-99.103,-64.97,-95.149,-98.311
1102,74.989,-70.631,-40.172,-69.154,-69.955
1103,56.423,-38.533,-23.458,-32.71,-29.334
1104,42.17,-38.808,-29.665,-43.002,-41.505
1105,31.623,-36.046,-24.698,-34.779,-33.856
1106,23.714,-26.988,-20.632,-26.807,-25.652
1107,17.783,-17.913,-12.849,-18.091,-17.511
1108,13.335,-14.107,-13.313,-15.83,-15.206
1109,10,-9.562,-8.536,-9.939,-9.217
1110,7.499,-7.872,-6.488,-8.27,-7.957
1111,5.623,-3.965,-3.834,-4.322,-3.595
1112,4.217,-4.271,-3.901,-4.595,-4.407
1113,3.162,-3.44,-3.611,-3.829,-3.269
1114,2.371,-2.638,-2.883,-3.07,-2.721
1115,1.778,-1.963,-2.205,-2.338,-2.16
1116,1.334,-1.534,-1.748,-1.801,-1.487
1117,1,-1.01,-1.232,-1.266,-0.981
1118,0.332,-0.419,-0.579,-0.588,-0.368
1119,0.005,0.067,0.053,0.045,0.171
1120,0,-2.386,-2.628,-2.723,-2.662
1121,100,-105.568,-49.147,-102.184,-108.595
