tid,gamma,trueage,freqonly
491,100,-107.38799,-103.27637
492,85.77,-87.69065,-84.29568
493,73.564,-77.21323,-73.15319
494,63.096,-61.52997,-62.97485
495,54.117,-54.48027,-57.76899
496,46.416,-42.60523,-44.84024
497,39.811,-35.51736,-39.29557
498,34.145,-31.02224,-35.22848
499,29.286,-26.03564,-30.41003
500,25.119,-21.13605,-24.74019
501,21.544,-19.31087,-22.55348
502,18.478,-16.54177,-19.4799
503,15.849,-14.02995,-17.38092
504,13.594,-12.12547,-14.43861
505,11.659,-10.43884,-12.17609
506,10,-9.7714,-10.88548
507,8.577,-8.42351,-9.56265
508,7.356,-6.96425,-7.59486
509,6.31,-6.14885,-6.53548
510,5.412,-5.45388,-5.36401
511,4.642,-4.5675,-4.43206
512,3.981,-4.20758,-3.99237
513,3.415,-3.61382,-3.3267
514,2.929,-3.05794,-2.66964
515,2.512,-2.86658,-2.44866
516,2.154,-2.42324,-2.01764
517,1.848,-1.77552,-1.41457
518,1.585,-1.35417,-1.03772
519,1.359,-1.73105,-1.3535
520,1.166,-0.96006,-0.72847
521,1,-1.01564,-0.7547
522,0.457,4.56205,0.71575
523,0.152,3.51416,0.79127
524,0.023,2.61342,0.91856
525,0,3.73099,0.8228
526,100,-112.5888,-102.88746
527,85.77,-90.71465,-83.10373
528,73.564,-76.82627,-76.33123
529,63.096,-63.29447,-64.59239
530,54.117,-55.22491,-58.91339
531,46.416,-43.22167,-48.51536
532,39.811,-36.93808,-40.15182
533,34.145,-30.79973,-36.06213
534,29.286,-25.43645,-30.3032
535,25.119,-22.58427,-26.25323
536,21.544,-19.19716,-22.33795
537,18.478,-16.10328,-19.47992
538,15.849,-14.11804,-17.12258
539,13.594,-12.62553,-15.28557
540,11.659,-10.38881,-11.96841
541,10,-9.38384,-11.01127
542,8.577,-8.19096,-9.04672
543,7.356,-7.00343,-7.34991
544,6.31,-6.54427,-6.77384
545,5.412,-5.85409,-5.85216
546,4.642,-4.64875,-4.42661
547,3.981,-4.12333,-3.92468
548,3.415,-3.37547,-3.02943
549,2.929,-2.94529,-2.57156
550,2.512,-2.65523,-2.16959
551,2.154,-2.25721,-1.91071
552,1.848,-1.86206,-1.456
553,1.585,-1.62727,-1.28314
554,1.359,-0.99336,-0.75919
555,1.166,-0.83094,-0.62377
556,1,-0.70294,-0.54823
557,0.457,0.7463,0.25069
558,0.152,1.00603,0.29998
559,0.023,0.52738,0.13891
560,0,1.76477,0.4334
561,100,-102.45131,-99.51285
562,85.77,-92.12391,-88.08734
563,73.564,-74.34421,-70.11383
564,63.096,-62.48482,-64.84427
565,54.117,-52.05504,-54.09706
566,46.416,-44.93606,-48.91105
567,39.811,-36.70969,-39.18702
568,34.145,-30.83783,-35.02674
569,29.286,-27.02774,-30.53954
570,25.119,-21.80448,-25.788
571,21.544,-18.90488,-22.77326
572,18.478,-15.79518,-18.79984
573,15.849,-13.95581,-16.70684
574,13.594,-12.66398,-15.10403
575,11.659,-10.56715,-12.5008
576,10,-9.38937,-10.84873
577,8.577,-8.13851,-9.0477
578,7.356,-7.29424,-7.69708
579,6.31,-6.33256,-6.50455
580,5.412,-5.79353,-5.78971
