sim,freq,est
30,0.3,0.000510764572422787
30,0.3,0.000501764712980248
30,0.3,NaN
30,0.3,NaN
30,0.3,0.000511023095228013
30,0.3,0.000512035182844538
30,0.3,0.000504321232665894
30,0.3,0.000556282544215134
30,0.3,0.000516046950552018
30,0.3,0.00054055326751026
30,0.3,0.000550796690694623
30,0.3,0.000500759287097112
30,0.3,NaN
30,0.3,0.00050694667913909
30,0.3,0.00056113332409007
30,0.3,0.000507333185845268
30,0.3,0.000543493158666177
30,0.3,0.00050723483501886
30,0.3,0.000530069779323562
30,0.3,0.00051751060744015
30,0.3,0.000525888142908779
30,0.3,0.000507474384928169
30,0.3,0.000521061272293076
30,0.3,0.0005345990080712
30,0.3,0.000498766418042723
30,0.3,0.000532102570667464
30,0.3,0.000504509567660991
30,0.3,0.000502657886214394
30,0.3,0.000554884114168587
30,0.3,0.000522899241877327
30,0.3,0.00051625899299179
30,0.3,0.000525622410038773
30,0.3,0.000586156815258891
30,0.3,0.000543177495193502
30,0.3,0.000496887774967758
30,0.3,0.000544409455406386
30,0.3,NaN
30,0.3,0.000533994309616174
30,0.3,0.0005589581517209
30,0.3,0.000494616299210593
30,0.3,0.000671424428880281
30,0.3,0.000525471245149176
30,0.3,0.000496455525776457
30,0.3,0.000542246304188517
30,0.3,0.000550710376066312
30,0.3,0.00054344539782469
30,0.3,0.000492546788508948
30,0.3,0.000496841504610222
30,0.3,0.000552744599383669
30,0.3,0.000557479669402993
30,0.3,0.00057940533899482
30,0.3,0.000517177847690227
30,0.3,0.000570702658503388
30,0.3,0.000531518236612215
30,0.3,0.000500188695671565
30,0.3,NaN
30,0.3,0.000534856162704684
30,0.3,0.000578172545911802
30,0.3,0.000563937216556411
30,0.3,0.000530264814481527
30,0.3,0.000561539168466769
30,0.3,0.000493357086958476
30,0.3,0.000612854724377421
30,0.3,0.000502317805816161
30,0.3,0.000508377378924522
30,0.3,0.000486172919211814
30,0.3,0.000538647836396118
30,0.3,0.000528573529238557
30,0.3,0.000583307559013494
30,0.3,0.000575243614548644
30,0.3,0.000486190972813443
30,0.3,0.000584772405294502
30,0.3,0.000495445780579658
30,0.3,0.00055310830781637
30,0.3,0.000496223534446658
