tid,gamma,trueage,relmid,impsamp,freqonly
1501,100,-97.11705,-72.08377,-105.7714,-106.07765
1502,74.989,-73.00498,-51.36374,-70.61608,-73.48549
1503,56.423,-34.11916,-25.85216,-32.76524,-27.25425
1504,42.17,-41.01686,-31.41177,-41.82433,-40.20253
1505,31.623,-30.82505,-22.28557,-28.92229,-30.65319
1506,23.714,-22.49911,-17.55961,-23.08696,-22.39475
1507,17.783,-17.53817,-14.20757,-17.85322,-17.41502
1508,13.335,-12.5847,-10.36783,-12.34918,-12.43203
1509,10,-9.82947,-8.27058,-9.75537,-8.89815
1510,7.499,-8.15229,-6.93071,-8.1018,-7.5644
1511,5.623,-3.62092,-3.41054,-3.74713,-3.02224
1512,4.217,-4.12631,-3.86021,-4.45847,-4.31196
1513,3.162,-3.31516,-3.38574,-3.76228,-3.57096
1514,2.371,-2.60393,-2.68221,-2.87086,-2.61366
1515,1.778,-1.68643,-1.92345,-2.02429,-1.84019
1516,1.334,-1.24312,-1.40072,-1.4592,-1.14797
1517,1,-1.07761,-1.24957,-1.28648,-0.99539
1518,0.332,-0.39576,-0.54414,-0.54229,-0.29621
1519,0.005,0.02977,0.04338,0.03493,0.13006
1520,0,-2.01016,-2.27781,-2.36286,-2.25397
1521,100,-102.45538,-56.03597,-98.72018,-99.55291
1522,74.989,-79.06319,-56.33061,-77.17898,-74.57891
1523,56.423,-37.39911,-23.25023,-32.03822,-28.75759
1524,42.17,-40.44063,-29.20171,-39.76725,-39.81115
1525,31.623,-31.51102,-25.92841,-33.97057,-33.16651
1526,23.714,-24.86922,-18.52469,-23.92738,-23.48767
1527,17.783,-16.91674,-13.86619,-17.71592,-17.56827
1528,13.335,-13.75422,-11.1312,-14.56554,-14.26229
1529,10,-10.46174,-8.84921,-10.95881,-10.37242
1530,7.499,-6.99131,-6.32751,-7.72935,-7.32435
1531,5.623,-3.70031,-3.45482,-3.77215,-3.07176
1532,4.217,-3.72264,-3.87605,-4.14037,-3.65348
1533,3.162,-3.30635,-3.32117,-3.68099,-3.43655
1534,2.371,-2.46882,-2.57118,-2.69727,-2.37971
1535,1.778,-1.75559,-1.96529,-2.09787,-1.87797
1536,1.334,-1.18151,-1.32269,-1.35586,-1.15971
1537,1,-1.00343,-1.21689,-1.26368,-0.94961
1538,0.332,-0.16695,-0.25349,-0.27578,-0.07509
1539,0.005,-0.10288,-0.20918,-0.21471,-0.00158
1540,0,-2.37619,-2.63389,-2.73725,-2.68445
1541,100,-97.20923,-69.13663,-104.36961,-105.76154
1542,74.989,-72.38295,-52.11269,-74.08793,-71.68479
1543,56.423,-42.48481,-29.13588,-39.44292,-34.92553
1544,42.17,-41.45026,-28.38347,-42.10765,-41.66424
1545,31.623,-34.41163,-22.94304,-33.21142,-33.67938
1546,23.714,-24.23261,-18.31826,-23.51516,-22.22838
1547,17.783,-18.68492,-14.34979,-19.58265,-19.752
1548,13.335,-13.76063,-10.619,-13.7494,-13.12823
1549,10,-8.9097,-7.72687,-9.22796,-8.73659
1550,7.499,-7.34378,-6.66228,-7.68823,-6.83141
1551,5.623,-3.78651,-3.53461,-3.91663,-3.21454
1552,4.217,-4.02616,-3.84676,-4.12522,-3.68115
1553,3.162,-3.16918,-3.17661,-3.49566,-3.18773
1554,2.371,-2.65257,-2.74002,-2.94901,-2.62218
1555,1.778,-1.66624,-1.85209,-1.93717,-1.61225
1556,1.334,-1.44328,-1.6552,-1.74388,-1.45002
1557,1,-0.98248,-1.12865,-1.15348,-0.93546
1558,0.332,-0.2035,-0.28367,-0.30541,-0.09951
1559,0.005,0.02745,-0.00918,-0.02037,0.13034
1560,0,-2.33304,-2.61851,-2.73219,-2.65058
1561,100,-104.33468,-65.80816,-110.4202,-108.06229
1562,74.989,-83.2423,-51.5241,-79.46332,-80.35789
1563,56.423,-35.88964,-25.9714,-32.76925,-28.36169
1564,42.17,-45.59764,-28.559,-46.2166,-47.5448
1565,31.623,-34.87005,-23.33355,-33.14455,-33.31764
1566,23.714,-23.80869,-16.63364,-24.31539,-24.55166
1567,17.783,-19.6099,-15.86223,-20.09592,-20.11811
1568,13.335,-13.89219,-10.86618,-14.18895,-13.87106
1569,10,-9.85184,-8.81929,-10.68392,-9.78892
1570,7.499,-7.07052,-6.42398,-7.90141,-7.29916
1571,5.623,-3.77839,-3.66213,-3.95172,-3.13493
1572,4.217,-4.05419,-4.16451,-4.85365,-4.53001
1573,3.162,-3.2767,-3.37253,-3.57695,-3.15188
1574,2.371,-2.69681,-2.81449,-3.06191,-2.71728
1575,1.778,-1.22568,-1.41589,-1.4836,-1.21519
1576,1.334,-1.17067,-1.34924,-1.40514,-1.19428
1577,1,-1.21683,-1.42876,-1.51095,-1.23706
1578,0.332,-0.34238,-0.49191,-0.50498,-0.27064
1579,0.005,-0.01909,-0.11728,-0.12455,0.06897
1580,0,-2.37106,-2.69155,-2.81098,-2.74032
1581,100,-96.48681,-64.741,-97.57408,-100.76001
1582,74.989,-77.16346,-48.79125,-75.06461,-80.03955
1583,56.423,-37.94204,-24.123,-32.90243,-29.13061
1584,42.17,-43.82268,-33.75811,-46.98129,-46.70841
1585,31.623,-33.2502,-21.45522,-32.43512,-33.89627
1586,23.714,-24.36701,-16.1596,-23.97585,-24.86287
1587,17.783,-19.19944,-14.06072,-19.24619,-20.46426
1588,13.335,-13.00814,-11.23738,-13.70623,-13.39011
1589,10,-9.65374,-8.12996,-10.48117,-9.92205
1590,7.499,-7.63717,-7.58759,-8.65146,-8.15152
1591,5.623,-4.15811,-3.95305,-4.38173,-3.56384
1592,4.217,-4.59587,-4.66364,-5.05937,-4.52107
1593,3.162,-3.58524,-3.64177,-3.98894,-3.53161
1594,2.371,-2.1879,-2.39731,-2.51196,-2.12015
1595,1.778,-1.90563,-2.17412,-2.22091,-1.90589
1596,1.334,-1.20621,-1.38533,-1.4199,-1.15731
1597,1,-1.31148,-1.47267,-1.53942,-1.24334
1598,0.332,-0.38533,-0.55456,-0.56891,-0.27911
1599,0.005,-0.21227,-0.21338,-0.23123,-0.11921
1600,0,-2.31208,-2.57352,-2.6949,-2.65376
1601,100,-89.7824,-57.63077,-84.98989,-88.22888
1602,74.989,-79.33005,-54.94414,-76.9609,-79.7098
1603,56.423,-36.62902,-24.95405,-34.27756,-31.84489
1604,42.17,-47.41082,-31.32857,-44.07449,-43.43636
1605,31.623,-30.31288,-22.47626,-28.69003,-28.67185
1606,23.714,-22.05404,-15.67149,-22.45358,-23.53662
1607,17.783,-17.18996,-13.52637,-17.80409,-18.27354
1608,13.335,-14.63935,-11.78218,-14.98279,-14.23223
1609,10,-10.6352,-9.02723,-11.68214,-11.60244
1610,7.499,-7.32149,-6.65546,-7.93638,-7.64299
1611,5.623,-3.5356,-3.47803,-3.70652,-3.12571
1612,4.217,-3.92059,-3.87679,-4.33026,-4.00334
1613,3.162,-3.93839,-4.08571,-4.58274,-4.24049
1614,2.371,-2.44073,-2.57246,-2.76338,-2.53535
1615,1.778,-2.02823,-2.22455,-2.37297,-2.03239
1616,1.334,-1.45362,-1.60165,-1.66855,-1.39841
1617,1,-0.89427,-1.08427,-1.12499,-0.82173
1618,0.332,-0.52097,-0.67805,-0.6939,-0.39498
1619,0.005,-0.10613,-0.19139,-0.20353,-0.02081
1620,0,-2.40284,-2.67531,-2.81633,-2.74136
1621,100,-98.08942,-65.01109,-99.38577,-103.31896
1622,74.989,-72.54396,-45.90287,-75.39836,-73.40052
1623,56.423,-40.26411,-27.81395,-36.81738,-31.70437
1624,42.17,-38.60086,-25.89569,-36.66184,-35.798
1625,31.623,-32.3444,-24.79981,-31.59532,-31.45417
1626,23.714,-24.61836,-18.43384,-24.74405,-24.35469
1627,17.783,-18.58508,-15.2667,-19.02146,-17.96426
1628,13.335,-13.84076,-9.84497,-13.71311,-13.9709
1629,10,-10.1976,-8.47509,-10.78496,-10.13037
1630,7.499,-7.77597,-6.75753,-8.11091,-7.73266
1631,5.623,-3.38651,-3.18411,-3.54839,-2.90428
1632,4.217,-3.94332,-3.72186,-4.16567,-3.75188
1633,3.162,-2.82741,-2.99845,-3.22998,-2.94055
1634,2.371,-2.45089,-2.70243,-2.89936,-2.43772
1635,1.778,-1.87913,-1.92099,-2.03226,-1.76819
1636,1.334,-1.42403,-1.57536,-1.63252,-1.3158
1637,1,-0.93943,-1.08058,-1.10997,-0.84057
1638,0.332,-0.63965,-0.84106,-0.85494,-0.53417
1639,0.005,0.11627,0.11519,0.10727,0.22146
1640,0,-2.45008,-2.70199,-2.81509,-2.74308
1641,100,-95.16735,-58.69906,-93.03959,-92.46
1642,74.989,-71.70819,-47.72372,-70.42555,-70.06659
1643,56.423,-37.23685,-27.6573,-33.51763,-27.91545
1644,42.17,-38.11486,-27.14082,-36.62254,-37.6253
1645,31.623,-31.61136,-19.79592,-31.57235,-31.00276
1646,23.714,-22.49686,-17.45265,-21.93639,-21.21526
1647,17.783,-18.2225,-14.35741,-18.89603,-18.96828
1648,13.335,-14.43726,-10.82783,-14.30761,-14.41758
1649,10,-9.03913,-7.91342,-9.44817,-8.78899
1650,7.499,-7.92689,-7.1895,-8.45189,-7.69785
1651,5.623,-3.82749,-3.59436,-4.06046,-3.44621
1652,4.217,-4.43711,-4.19143,-4.69085,-4.40644
1653,3.162,-3.13113,-3.05508,-3.27314,-2.9806
1654,2.371,-2.32992,-2.51778,-2.67646,-2.28368
1655,1.778,-2.24264,-2.43787,-2.56382,-2.22566
1656,1.334,-1.36729,-1.56187,-1.61338,-1.26445
1657,1,-0.89081,-1.00446,-1.02957,-0.79757
1658,0.332,-0.34615,-0.4815,-0.4932,-0.26324
1659,0.005,-0.21567,-0.32883,-0.33812,-0.13578
1660,0,-2.39838,-2.69137,-2.81884,-2.70494
1661,100,-105.7776,-64.31563,-107.82843,-109.5102
1662,74.989,-84.28511,-58.44225,-83.45326,-83.67131
1663,56.423,-36.4653,-22.94632,-32.48666,-29.00669
1664,42.17,-45.16477,-30.30886,-44.32195,-46.58048
1665,31.623,-30.0721,-23.89883,-32.01011,-31.48406
1666,23.714,-23.06419,-15.98362,-21.93758,-21.41626
1667,17.783,-16.14364,-12.42354,-15.85371,-15.42847
1668,13.335,-14.32127,-12.21594,-16.15896,-15.29456
1669,10,-10.22564,-8.17078,-10.58737,-10.67399
1670,7.499,-7.42829,-6.69074,-7.88691,-7.17572
1671,5.623,-3.90742,-3.68452,-4.11348,-3.41831
1672,4.217,-4.11263,-3.93281,-4.39665,-4.01372
1673,3.162,-3.22647,-3.37689,-3.53666,-3.06897
1674,2.371,-2.55554,-2.58532,-2.74099,-2.43273
1675,1.778,-1.79146,-2.08118,-2.17472,-1.88304
1676,1.334,-1.69856,-1.98917,-2.06743,-1.7864
1677,1,-0.80029,-1.00449,-1.04631,-0.7338
1678,0.332,-0.28816,-0.42729,-0.43267,-0.18552
1679,0.005,-0.1523,-0.2713,-0.28179,-0.04397
1680,0,-2.30977,-2.56909,-2.66922,-2.56733
1681,100,-89.21501,-54.83832,-87.73575,-92.87945
1682,74.989,-73.27233,-51.38477,-72.75044,-75.10233
1683,56.423,-41.35723,-23.73436,-36.7436,-31.55852
1684,42.17,-42.92155,-26.60244,-39.51551,-40.87842
1685,31.623,-27.72156,-22.06278,-27.92426,-28.27153
1686,23.714,-24.41147,-18.74755,-23.9183,-23.85123
1687,17.783,-18.12,-12.77732,-18.64329,-19.09325
1688,13.335,-13.48196,-11.04471,-14.46642,-14.27829
1689,10,-10.62525,-8.61839,-11.46491,-10.76498
1690,7.499,-8.17922,-7.40893,-8.67541,-8.17619
1691,5.623,-3.94119,-3.74174,-4.15467,-3.29206
1692,4.217,-3.92941,-3.95344,-4.44905,-4.05781
1693,3.162,-3.09719,-3.19153,-3.51025,-3.14649
1694,2.371,-2.08919,-2.30499,-2.46559,-2.22302
1695,1.778,-2.00718,-2.09913,-2.19931,-1.88779
1696,1.334,-1.02042,-1.25905,-1.29011,-0.94243
1697,1,-1.08077,-1.28268,-1.32164,-1.04335
1698,0.332,-0.11912,-0.21191,-0.23414,-0.02997
1699,0.005,-0.13817,-0.24922,-0.26452,-0.06069
1700,0,-2.37141,-2.72401,-2.82094,-2.70691
1701,100,-100.56589,-65.23337,-99.70166,-98.29549
1702,74.989,-73.38494,-48.04727,-71.89493,-69.22791
1703,56.423,-36.12865,-27.56913,-35.67366,-30.05778
1704,42.17,-42.67797,-31.11979,-43.06698,-44.75783
1705,31.623,-32.15513,-22.27766,-31.59367,-31.73908
1706,23.714,-20.84686,-14.07183,-20.05062,-21.04301
1707,17.783,-17.60476,-14.49855,-17.73883,-16.77951
1708,13.335,-13.1861,-11.17709,-12.93244,-12.55358
1709,10,-10.24825,-8.74774,-10.64696,-10.47567
1710,7.499,-7.42812,-6.72817,-8.18339,-7.46213
1711,5.623,-3.46733,-3.41007,-3.72353,-3.0369
1712,4.217,-4.69849,-4.48769,-5.22885,-4.64102
1713,3.162,-3.12547,-3.20328,-3.47193,-3.11691
1714,2.371,-2.55962,-2.60201,-2.75346,-2.43412
1715,1.778,-1.81176,-2.0077,-2.12685,-1.84397
1716,1.334,-1.30458,-1.44589,-1.487,-1.19711
