tid,gamma,trueage,relmid,impsamp,freqonly
1,100,-96.32384,-59.72768,-87.711,-83.20886
2,74.989,-67.81667,-68.14244,-69.39217,-76.19362
3,56.423,-59.26007,-34.95209,-60.5359,-55.01749
4,42.17,-42.87715,-35.2592,-44.32145,-41.20625
5,31.623,-32.16688,-28.35584,-31.24113,-33.52782
6,23.714,-21.1209,-16.66568,-22.42118,-20.93234
7,17.783,-19.19905,-17.07152,-19.53396,-20.72556
8,13.335,-14.36239,-12.32386,-15.10968,-14.48056
9,10,-9.52755,-8.52558,-9.85415,-9.81278
10,7.499,-7.16565,-6.92871,-7.95842,-7.52757
11,5.623,-5.47263,-5.12587,-5.81347,-5.52334
12,4.217,-4.2833,-3.89899,-4.71956,-4.39402
13,3.162,-2.95969,-3.09705,-3.30256,-2.8638
14,2.371,-2.07741,-2.14656,-2.25483,-1.96371
15,1.778,-1.67644,-1.84352,-1.92631,-1.53539
16,1.334,-1.36624,-1.56955,-1.6165,-1.35916
17,1,-1.34827,-1.51264,-1.57101,-1.21862
18,0.332,-0.43648,-0.59106,-0.6431,-0.34725
19,0.005,-0.06574,-0.16102,-0.16467,0.01773
20,0,-5.17394,-4.54215,-4.84159,-3.98754
21,100,-107.13463,-65.80555,-106.35782,-92.11141
22,74.989,-74.62331,-81.62069,-76.39501,-93.12249
23,56.423,-59.91173,-42.80823,-58.79647,-51.09037
24,42.17,-40.44822,-26.81086,-38.57228,-37.14925
25,31.623,-29.20732,-24.29957,-30.09235,-31.62098
26,23.714,-22.20712,-18.62205,-23.02271,-22.45491
27,17.783,-17.48446,-14.04577,-17.14037,-17.66837
28,13.335,-13.34391,-10.6315,-13.1457,-12.66946
29,10,-9.91741,-9.15036,-10.85086,-10.14355
30,7.499,-7.97002,-7.77034,-8.97968,-8.11327
31,5.623,-6.1754,-5.69909,-6.35436,-5.60894
32,4.217,-3.9916,-4.14456,-4.51482,-4.17124
33,3.162,-3.04412,-3.12074,-3.40592,-2.99613
34,2.371,-2.46098,-2.70772,-2.85103,-2.45278
35,1.778,-2.07773,-2.28059,-2.40124,-2.0892
36,1.334,-1.32049,-1.40978,-1.49772,-1.16423
37,1,-0.89722,-1.0752,-1.14054,-0.77946
38,0.332,-0.42452,-0.59504,-0.6179,-0.35883
39,0.005,-0.17097,-0.23483,-0.31042,-0.03298
40,0,-4.85774,-4.28902,-4.57159,-3.69284
41,100,-105.9956,-68.8425,-103.95317,-88.4861
42,74.989,-75.00619,-50.63026,-76.14502,-78.85925
43,56.423,-52.60102,-41.84267,-50.42615,-48.71742
44,42.17,-41.56066,-31.81615,-42.0376,-43.46043
45,31.623,-32.60228,-26.87477,-34.05506,-33.35426
46,23.714,-24.90543,-22.0919,-27.46214,-25.53352
47,17.783,-16.75906,-12.58178,-16.50372,-15.0298
48,13.335,-12.70017,-10.53031,-12.50779,-12.04039
49,10,-11.62453,-9.98376,-12.05992,-11.39616
50,7.499,-7.83245,-6.74847,-8.38089,-8.09885
51,5.623,-5.30832,-4.86553,-5.63114,-5.22594
52,4.217,-4.50104,-4.0318,-4.69685,-4.24684
53,3.162,-3.0193,-2.98026,-3.19294,-2.88534
54,2.371,-2.33259,-2.37818,-2.52714,-2.28717
55,1.778,-1.63766,-1.92869,-1.92391,-1.68349
56,1.334,-1.03395,-1.19363,-1.24529,-0.95418
57,1,-0.80667,-0.97336,-0.99736,-0.76524
58,0.332,-0.43596,-0.68578,-0.64331,-0.4184
59,0.005,0.00011,-0.06524,-0.06003,0.1069
60,0,-7.98432,-6.17206,-7.0818,-5.79676
61,100,-111.04157,-131.42755,-105.74989,-163.82302
62,74.989,-75.8325,-60.77587,-74.30999,-75.2006
63,56.423,-56.7533,-43.45033,-55.17464,-53.18569
64,42.17,-36.98413,-27.81331,-37.05398,-37.04067
65,31.623,-30.09925,-24.85356,-29.32358,-28.6383
66,23.714,-23.01534,-19.43608,-23.56131,-23.76496
67,17.783,-18.74052,-17.67681,-19.97112,-23.14867
68,13.335,-12.81911,-11.14869,-13.19538,-11.82925
69,10,-9.34126,-8.01688,-9.50975,-9.27514
70,7.499,-8.54113,-8.44394,-9.63681,-9.08383
71,5.623,-5.64448,-5.55102,-6.49833,-5.99942
72,4.217,-4.11682,-4.16475,-4.61422,-4.2655
73,3.162,-3.39867,-3.45421,-3.74073,-3.33834
74,2.371,-2.56732,-2.60243,-2.81554,-2.51116
75,1.778,-1.75149,-1.86429,-1.96963,-1.67837
76,1.334,-1.19486,-1.38773,-1.4649,-1.20418
77,1,-0.96795,-1.1847,-1.19163,-0.97577
78,0.332,-0.17512,-0.26117,-0.28865,-0.08128
79,0.005,-0.19488,-0.2854,-0.33418,-0.08507
80,0,-5.01553,-4.32054,-4.51591,-3.73358
81,100,-100.01269,-146.53614,-99.40692,-155.41281
82,74.989,-75.39011,-56.53338,-74.98132,-67.2221
83,56.423,-54.02839,-47.50364,-52.45003,-58.07904
84,42.17,-38.64746,-31.01517,-39.01875,-38.59155
85,31.623,-32.98628,-30.24432,-32.93507,-35.67169
86,23.714,-22.68919,-20.48576,-22.96184,-22.61056
87,17.783,-15.9491,-14.75072,-16.92878,-16.81383
88,13.335,-12.91102,-10.61152,-13.61781,-13.32806
89,10,-10.78438,-9.36946,-11.05546,-10.9083
90,7.499,-7.3994,-7.04164,-8.12234,-7.59326
91,5.623,-5.11233,-4.90217,-5.48181,-4.97389
92,4.217,-4.51048,-4.69701,-5.29515,-4.88416
93,3.162,-3.02814,-3.12486,-3.27037,-2.8566
94,2.371,-2.33701,-2.5481,-2.67391,-2.47838
95,1.778,-1.95585,-2.11846,-2.22686,-1.86687
96,1.334,-1.35498,-1.62176,-1.689,-1.34737
97,1,-1.29357,-1.51264,-1.58866,-1.3264
98,0.332,-0.08794,-0.14103,-0.13952,0.01834
99,0.005,0.25761,0.37579,0.30138,0.3955
100,0,-6.12561,-5.0701,-5.57045,-4.72121
101,100,-103.86474,-81.56701,-100.73119,-118.01821
102,74.989,-70.56058,-54.22235,-64.97031,-61.69799
103,56.423,-60.88289,-55.21465,-64.5158,-67.55837
104,42.17,-45.49397,-30.71328,-45.72327,-42.13593
