tid,gamma,trueage,freqonly
246,-1.077,1.03587,1.01106
247,-0.5,0.4491,0.48428
248,-0.232,0.05604,0.097
249,-0.108,-0.24697,-0.12388
250,-0.05,0.23808,0.23321
251,-50,53.24761,38.68534
252,-23.208,22.12152,43.95958
253,-10.772,10.89346,11.25713
254,-5,5.03781,3.54368
255,-2.321,2.19212,2.38981
256,-1.077,1.39004,1.49801
257,-0.5,0.38128,0.55708
258,-0.232,0.56838,0.55142
259,-0.108,0.3806,0.45951
260,-0.05,0.08677,0.16822
261,-50,51.10132,384.96887
262,-23.208,23.34368,30.80509
263,-10.772,9.98427,8.52691
264,-5,5.05621,4.5804
265,-2.321,2.34008,2.3639
266,-1.077,1.04949,1.00784
267,-0.5,0.56688,0.71184
268,-0.232,0.92516,0.94337
269,-0.108,0.28482,0.39351
270,-0.05,0.15613,0.24346
271,-50,48.21755,14.02848
272,-23.208,23.28059,28.69756
273,-10.772,10.1858,8.22291
274,-5,5.32166,7.82702
275,-2.321,2.3188,2.72495
276,-1.077,1.2619,1.32088
277,-0.5,0.3165,0.3845
278,-0.232,0.12211,0.26229
279,-0.108,0.64566,0.66522
280,-0.05,-0.14724,-0.02733
281,-50,51.53994,202.64968
282,-23.208,22.33412,16.03428
283,-10.772,10.51378,8.23864
284,-5,5.45314,6.50377
285,-2.321,2.23675,2.55938
286,-1.077,0.79975,1.00737
287,-0.5,0.17296,0.24071
288,-0.232,0.45459,0.62888
289,-0.108,0.2203,0.29339
290,-0.05,-0.06558,0.04087
291,-50,51.00721,128.95303
292,-23.208,23.31176,34.83296
293,-10.772,10.34582,14.46898
294,-5,5.74369,7.80042
295,-2.321,2.06991,1.65297
296,-1.077,1.10537,1.33584
297,-0.5,0.26173,0.38257
298,-0.232,0.3574,0.48039
299,-0.108,-0.04795,0.03692
300,-0.05,-0.35375,-0.24335
301,-50,53.13526,40.58288
302,-23.208,23.0006,23.53627
303,-10.772,10.79954,13.39114
304,-5,4.52751,5.4042
305,-2.321,2.3774,2.5912
306,-1.077,1.05634,1.08271
307,-0.5,0.22885,0.28793
308,-0.232,0.82911,0.92075
309,-0.108,-0.05249,0.06813
310,-0.05,0.16774,0.30479
311,-50,51.82588,35.38128
312,-23.208,23.37985,25.54675
313,-10.772,11.39576,10.10817
314,-5,4.35851,3.19734
315,-2.321,2.7162,2.94494
316,-1.077,0.86536,0.80013
317,-0.5,0.37699,0.40422
318,-0.232,0.3223,0.40831
319,-0.108,-0.06557,0.03138
320,-0.05,-0.08787,-0.00786
321,-50,51.79092,17.15709
322,-23.208,22.98361,33.05273
323,-10.772,10.49005,11.39866
324,-5,4.49834,6.96718
325,-2.321,2.33482,2.79385
326,-1.077,1.04393,1.13834
327,-0.5,0.92267,0.85089
328,-0.232,0.06352,0.14979
329,-0.108,0.03337,0.13655
330,-0.05,0.19459,0.33446
331,-50,49.30959,81.57811
332,-23.208,23.69886,22.32354
333,-10.772,11.13827,9.38641
334,-5,4.44286,5.32036
335,-2.321,2.15606,1.5749
336,-1.077,0.81411,0.78069
337,-0.5,1.14734,0.95752
338,-0.232,0.30658,0.32939
339,-0.108,0.04454,0.15943
340,-0.05,0.21728,0.30333
341,-50,50.59529,30.47018
342,-23.208,23.14405,19.97747
343,-10.772,10.84262,9.69452
344,-5,5.01642,4.68354
345,-2.321,2.22862,2.80523
346,-1.077,1.02131,0.96819
347,-0.5,0.88392,1.05887
348,-0.232,-0.01979,0.09814
349,-0.108,0.40855,0.4987
350,-0.05,-0.11936,-0.01249
351,-50,49.61953,24.41598
352,-23.208,23.54576,19.59041
353,-10.772,11.14092,13.83622
354,-5,5.92552,4.28931
355,-2.321,2.43385,2.88061
356,-1.077,0.71948,0.85938
357,-0.5,0.52858,0.73309
358,-0.232,0.01542,0.09855
359,-0.108,0.15554,0.26482
360,-0.05,0.27265,0.36789
361,-50,51.70707,30.88612
362,-23.208,23.00231,24.73679
363,-10.772,10.07774,4.73813
364,-5,5.18583,3.46376
365,-2.321,2.24611,3.9406
366,-1.077,1.21424,1.35974
367,-0.5,0.69238,0.78446
368,-0.232,0.55173,0.60797
369,-0.108,0.25076,0.35803
370,-0.05,0.36718,0.45138
371,-50,50.75474,99.39596
372,-23.208,22.91711,28.7351
373,-10.772,11.16208,9.33266
374,-5,5.23475,4.89157
375,-2.321,2.35292,2.35229
376,-1.077,1.21555,1.47897
377,-0.5,0.7651,0.89537
378,-0.232,0.4944,0.57004
379,-0.108,0.00029,0.09335
380,-0.05,-0.00716,0.10929
381,-50,49.66165,33.30158
382,-23.208,22.95893,18.41323
383,-10.772,11.53561,7.6418
384,-5,5.10254,6.88715
385,-2.321,2.18471,2.16514
386,-1.077,1.15534,1.15685
387,-0.5,0.49993,0.61744
388,-0.232,0.23176,0.36096
389,-0.108,0.24092,0.3207
390,-0.05,-0.0613,0.05224
391,-50,51.91618,45.32957
392,-23.208,23.08037,18.48773
393,-10.772,11.01184,11.77041
394,-5,5.25171,7.53333
395,-2.321,2.45199,2.84143
396,-1.077,0.54003,0.63883
397,-0.5,0.7468,1.04229
398,-0.232,0.1097,0.23937
399,-0.108,0.32191,0.39025
400,-0.05,0.04504,0.11664
401,-50,50.0397,30.24293
402,-23.208,23.76107,23.12343
403,-10.772,12.05484,19.81219
404,-5,5.06403,4.13394
405,-2.321,2.51202,2.95376
406,-1.077,0.81469,0.88943
407,-0.5,0.39878,0.49252
408,-0.232,0.01671,0.11553
409,-0.108,-0.07563,-0.01089
410,-0.05,-0.03378,0.10092
411,-50,51.01807,61.79898
412,-23.208,23.50605,32.00732
413,-10.772,11.35292,7.7467
414,-5,4.68254,3.37894
415,-2.321,2.37755,1.91702
416,-1.077,0.78593,1.01871
