tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-81.17680,0,0,-103.07253,0
2,74.989,-67.27877,0,0,-67.36542,0
3,56.423,-58.32987,0,0,-56.10847,0
4,42.17,-40.49932,0,0,-44.11469,0
5,31.623,-36.40183,0,0,-43.15,0
6,23.714,-21.89971,0,0,-20.63417,0
7,17.783,-18.48907,0,0,-19.95273,0
8,13.335,-13.61668,0,0,-12.97765,0
9,10,-10.29153,0,0,-11.36413,0
10,7.499,-7.353,0,0,-6.8862,0
11,5.623,-5.76271,0,0,-5.35805,0
12,4.217,-4.03879,0,0,-4.03898,0
13,3.162,-3.29733,0,0,-3.29168,0
14,2.371,-2.46103,0,0,-2.53266,0
15,1.778,-1.72885,0,0,-1.74607,0
16,1.334,-1.40078,0,0,-1.40311,0
17,1,-0.98766,0,0,-0.93572,0
18,0.332,-0.38481,0,0,-0.43056,0
19,0.005,-0.07968,0,0,-0.13119,0
20,0,0.02714,0,0,-0.02299,0
21,100,-103.60132,0,0,-125.27953,0
22,74.989,-67.78789,0,0,-95.18159,0
23,56.423,-61.30024,0,0,-69.1689,0
24,42.17,-29.97195,0,0,-28.86323,0
25,31.623,-33.62908,0,0,-30.26114,0
26,23.714,-22.21447,0,0,-23.06126,0
27,17.783,-18.88696,0,0,-18.81269,0
28,13.335,-13.25753,0,0,-12.49798,0
29,10,-10.254,0,0,-9.98765,0
30,7.499,-7.94574,0,0,-7.70724,0
31,5.623,-5.93047,0,0,-5.79796,0
32,4.217,-4.3412,0,0,-4.40712,0
33,3.162,-3.16307,0,0,-3.35588,0
34,2.371,-2.31135,0,0,-2.22541,0
35,1.778,-1.62076,0,0,-1.68649,0
36,1.334,-1.32766,0,0,-1.33632,0
37,1,-1.10804,0,0,-1.12425,0
38,0.332,-0.43947,0,0,-0.47037,0
39,0.005,0.2172,0,0,0.16512,0
40,0,0.00721,0,0,-0.04959,0
41,100,-103.53336,0,0,-91.31027,0
42,74.989,-83.76332,0,0,-90.80377,0
43,56.423,-54.3864,0,0,-55.05027,0
44,42.17,-45.16517,0,0,-47.91156,0
45,31.623,-28.90658,0,0,-29.05774,0
46,23.714,-22.57443,0,0,-21.09453,0
47,17.783,-19.07197,0,0,-19.5458,0
48,13.335,-14.27064,0,0,-14.31768,0
49,10,-9.71991,0,0,-9.92409,0
50,7.499,-7.4055,0,0,-7.54474,0
51,5.623,-5.60527,0,0,-5.67843,0
52,4.217,-3.96101,0,0,-3.82097,0
53,3.162,-3.20367,0,0,-3.16484,0
54,2.371,-2.39491,0,0,-2.28107,0
55,1.778,-1.81169,0,0,-1.88647,0
56,1.334,-1.12273,0,0,-1.19393,0
57,1,-1.00929,0,0,-1.04368,0
58,0.332,-0.36372,0,0,-0.43633,0
59,0.005,0.07492,0,0,0.01504,0
60,0,0.0948,0,0,0.02858,0
61,100,-105.81592,0,0,-281.53304,0
62,74.989,-82.31922,0,0,-108.42742,0
63,56.423,-57.23715,0,0,-50.20927,0
64,42.17,-47.22424,0,0,-42.80845,0
65,31.623,-30.37906,0,0,-27.87008,0
66,23.714,-23.2063,0,0,-28.65676,0
67,17.783,-16.49142,0,0,-17.62662,0
68,13.335,-13.87964,0,0,-13.3179,0
69,10,-9.87584,0,0,-10.36192,0
70,7.499,-7.30268,0,0,-7.17121,0
71,5.623,-5.70102,0,0,-5.84456,0
72,4.217,-4.06605,0,0,-4.1637,0
73,3.162,-2.9121,0,0,-3.00755,0
74,2.371,-2.11405,0,0,-2.23224,0
75,1.778,-1.79613,0,0,-1.97938,0
76,1.334,-1.28971,0,0,-1.31932,0
77,1,-0.94965,0,0,-0.93446,0
78,0.332,-0.3513,0,0,-0.4151,0
79,0.005,0,0,0,-0.07394,0
80,0,-0.00648,0,0,-0.07173,0
81,100,-116.08491,0,0,-121.82456,0
82,74.989,-74.72389,0,0,-96.08685,0
83,56.423,-65.64984,0,0,-74.33143,0
84,42.17,-36.89249,0,0,-34.05664,0
85,31.623,-33.31597,0,0,-26.26223,0
86,23.714,-23.56373,0,0,-22.91339,0
87,17.783,-17.97412,0,0,-19.70701,0
88,13.335,-12.87116,0,0,-14.04923,0
89,10,-10.20484,0,0,-10.16493,0
90,7.499,-7.4185,0,0,-7.46938,0
91,5.623,-5.29313,0,0,-5.33011,0
92,4.217,-4.13463,0,0,-4.1044,0
93,3.162,-3.2629,0,0,-3.35765,0
94,2.371,-2.48172,0,0,-2.38815,0
95,1.778,-1.68569,0,0,-1.71518,0
96,1.334,-1.31836,0,0,-1.36939,0
97,1,-0.96329,0,0,-0.99168,0
98,0.332,-0.36256,0,0,-0.4349,0
