tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
746,23.714,-23.00154,0,0,-24.95607,0
747,17.783,-17.62357,0,0,-16.70748,0
748,13.335,-12.44264,0,0,-14.85466,0
749,10,-9.31754,0,0,-9.55185,0
750,7.499,-177.98374,0,0,-7.59956,0
751,5.623,-5.47534,0,0,-5.408,0
752,4.217,-4.61753,0,0,-4.67195,0
753,3.162,-3.09753,0,0,-3.30036,0
754,2.371,-2.26794,0,0,-2.22062,0
755,1.778,-1.59545,0,0,-1.6061,0
756,1.334,-1.25692,0,0,-1.32885,0
757,1,-0.87985,0,0,-0.9202,0
758,0.332,-0.29462,0,0,-0.3677,0
759,0.005,0.17289,0,0,0.08194,0
760,0,0.03547,0,0,-0.01977,0
761,100,-85.4839,0,0,-129.93776,0
762,74.989,-73.12653,0,0,-91.22167,0
763,56.423,-57.56946,0,0,-57.37777,0
764,42.17,-40.12982,0,0,-34.23062,0
765,31.623,-28.57238,0,0,-32.08309,0
766,23.714,-25.29254,0,0,-30.35145,0
767,17.783,-16.93197,0,0,-18.32155,0
768,13.335,-12.56253,0,0,-12.70731,0
769,10,-9.28391,0,0,-8.77285,0
770,7.499,-7.05876,0,0,-6.98676,0
771,5.623,-5.67155,0,0,-5.91249,0
772,4.217,-4.11367,0,0,-4.28562,0
773,3.162,-3.0705,0,0,-3.32232,0
774,2.371,-2.12631,0,0,-2.10146,0
775,1.778,-1.8737,0,0,-1.92528,0
776,1.334,-1.36864,0,0,-1.35084,0
777,1,-1.01204,0,0,-1.05006,0
778,0.332,-0.45757,0,0,-0.50742,0
779,0.005,0.18423,0,0,0.13042,0
780,0,-0.07556,0,0,-0.14173,0
781,100,-96.12815,0,0,-122.22271,0
782,74.989,-69.20289,0,0,-68.43139,0
783,56.423,-52.30996,0,0,-54.43698,0
784,42.17,-37.31771,0,0,-54.30486,0
785,31.623,-30.58203,0,0,-29.34157,0
786,23.714,-21.95923,0,0,-30.48639,0
787,17.783,-16.00413,0,0,-18.93254,0
788,13.335,-12.2615,0,0,-12.50076,0
789,10,-9.94189,0,0,-10.53425,0
790,7.499,-7.058,0,0,-7.17429,0
791,5.623,-5.59325,0,0,-5.71176,0
792,4.217,-4.41798,0,0,-4.34188,0
793,3.162,-3.21855,0,0,-3.35216,0
794,2.371,-2.0936,0,0,-2.04634,0
795,1.778,-1.90588,0,0,-1.86655,0
796,1.334,-1.35832,0,0,-1.49127,0
797,1,-0.94352,0,0,-1.01876,0
798,0.332,-0.30747,0,0,-0.39075,0
799,0.005,-0.00052,0,0,-0.05411,0
800,0,-0.03223,0,0,-0.08872,0
801,100,-108.632,0,0,-306.4439,0
802,74.989,-72.1254,0,0,-77.77138,0
803,56.423,-52.14513,0,0,-46.52612,0
804,42.17,-41.17009,0,0,-42.92795,0
805,31.623,-28.91346,0,0,-38.84723,0
806,23.714,-21.33649,0,0,-17.14134,0
807,17.783,-18.56955,0,0,-18.35628,0
808,13.335,-13.88862,0,0,-13.5476,0
809,10,-9.35652,0,0,-9.15889,0
810,7.499,-6.67805,0,0,-6.62443,0
811,5.623,-5.39255,0,0,-5.7243,0
812,4.217,-4.1689,0,0,-4.02463,0
813,3.162,-3.11705,0,0,-3.33274,0
814,2.371,-2.29295,0,0,-2.3263,0
815,1.778,-1.83493,0,0,-1.79264,0
816,1.334,-1.28506,0,0,-1.22829,0
817,1,-0.87837,0,0,-0.90683,0
818,0.332,-0.36763,0,0,-0.40876,0
819,0.005,0.01971,0,0,-0.02437,0
820,0,-0.06245,0,0,-0.11573,0
821,100,-103.53357,0,0,-68.63294,0
822,74.989,-67.28479,0,0,-57.24821,0
823,56.423,-62.18593,0,0,-54.77257,0
824,42.17,-33.65535,0,0,-46.39403,0
825,31.623,-31.63134,0,0,-31.61772,0
826,23.714,-22.32859,0,0,-21.12656,0
827,17.783,-16.36844,0,0,-17.81561,0
828,13.335,-12.57161,0,0,-13.6347,0
829,10,-9.1808,0,0,-9.67168,0
830,7.499,-7.78563,0,0,-7.88106,0
831,5.623,-5.52245,0,0,-5.60937,0
832,4.217,-3.98081,0,0,-3.98256,0
833,3.162,-2.97646,0,0,-2.99435,0
834,2.371,-2.30215,0,0,-2.47118,0
835,1.778,-1.76245,0,0,-1.81824,0
836,1.334,-1.34866,0,0,-1.46337,0
837,1,-0.95134,0,0,-0.97044,0
838,0.332,-0.20071,0,0,-0.28635,0
839,0.005,0.19369,0,0,0.12651,0
840,0,-0.07665,0,0,-0.16448,0
841,100,-98.9284,0,0,-135.02484,0
842,74.989,-63.20319,0,0,-74.46691,0
843,56.423,-51.32128,0,0,-64.75516,0
844,42.17,-35.16798,0,0,-54.62906,0
845,31.623,-28.63284,0,0,-21.81942,0
846,23.714,-21.92336,0,0,-20.44634,0
847,17.783,-16.50804,0,0,-16.50743,0
848,13.335,-11.71113,0,0,-12.86828,0
849,10,-9.86885,0,0,-10.183,0
850,7.499,-7.32488,0,0,-7.60689,0
851,5.623,-5.93692,0,0,-5.82388,0
852,4.217,-4.28032,0,0,-4.30618,0
853,3.162,-2.80523,0,0,-2.95755,0
854,2.371,-2.38692,0,0,-2.44915,0
855,1.778,-1.81629,0,0,-1.75285,0
856,1.334,-1.26309,0,0,-1.26529,0
857,1,-0.98545,0,0,-1.0213,0
858,0.332,-0.36336,0,0,-0.39934,0
859,0.005,-0.01768,0,0,-0.06822,0
860,0,0.07144,0,0,0.00191,0
861,100,-96.12392,0,0,-101.93764,0
862,74.989,-76.46628,0,0,-77.37635,0
863,56.423,-49.06679,0,0,-52.1631,0
864,42.17,-37.24714,0,0,-32.28637,0
865,31.623,-27.97574,0,0,-24.08122,0
866,23.714,-20.32625,0,0,-17.27383,0
867,17.783,-16.59673,0,0,-17.70353,0
868,13.335,-12.91695,0,0,-13.36607,0
