tid,gamma,trueage,relmid,impsamp,freqonly
403,56.423,-49.61261,-35.94322,-50.15124,-50.62381
423,56.423,-54.42578,-37.18575,-51.98046,-51.60257
443,56.423,-58.05628,-36.73964,-53.75017,-54.33871
463,56.423,-55.67897,-41.77603,-57.97196,-57.4526
483,56.423,-53.67315,-35.4589,-54.08342,-55.96094
503,56.423,-60.5716,-35.78459,-57.43854,-58.80821
523,56.423,-59.75885,-44.34186,-59.32092,-61.30254
543,56.423,-61.53235,-40.24065,-64.13764,-65.44295
563,56.423,-69.08358,-36.5979,-64.23087,-65.42106
583,56.423,-62.12519,-45.46182,-63.09568,-63.47913
603,56.423,-61.77214,-37.91864,-60.40374,-63.66242
623,56.423,-55.95381,-38.32953,-56.81828,-56.06293
643,56.423,-60.5772,-42.24514,-62.18643,-62.25059
663,56.423,-60.42248,-43.75854,-60.57816,-61.03699
683,56.423,-55.53687,-38.47664,-56.92273,-57.32955
703,56.423,-59.8991,-39.74761,-62.48724,-62.11775
723,56.423,-60.79051,-38.99537,-57.15865,-61.28545
743,56.423,-58.5034,-37.87172,-56.01679,-57.06552
763,56.423,-61.07124,-41.48422,-61.77783,-62.91471
783,56.423,-60.9446,-40.88811,-60.726,-61.20292
803,56.423,-58.27862,-35.14227,-57.22136,-61.56457
823,56.423,-63.55572,-42.75306,-64.85939,-64.77947
843,56.423,-55.55181,-38.87044,-55.22885,-56.76946
863,56.423,-67.82325,-53.2913,-71.50638,-73.73721
883,56.423,-57.08936,-37.08758,-57.67871,-58.47239
903,56.423,-51.39507,-34.18379,-51.88357,-54.91881
923,56.423,-59.5048,-39.82806,-60.2865,-61.31506
943,56.423,-57.66629,-38.37199,-56.63404,-55.7509
963,56.423,-63.37459,-43.80506,-62.20835,-62.82289
983,56.423,-61.34605,-44.58514,-62.85273,-62.53442
1003,56.423,-55.95572,-37.2613,-58.91688,-59.06692
1023,56.423,-57.72849,-37.19609,-57.6957,-59.05182
1043,56.423,-61.00995,-42.34469,-60.01596,-60.03494
1063,56.423,-57.20116,-41.83929,-56.44167,-58.63717
1083,56.423,-55.03775,-39.2357,-54.18114,-54.12007
1103,56.423,-59.59867,-36.64546,-55.28279,-58.06827
1123,56.423,-61.0611,-43.5894,-59.67457,-60.40213
1143,56.423,-52.93748,-36.73887,-50.70476,-51.65911
1163,56.423,-59.61501,-36.69044,-58.54375,-59.66906
1183,56.423,-56.98611,-37.65587,-60.25103,-60.21768
1203,56.423,-55.6697,-34.97374,-56.71468,-58.40476
1223,56.423,-57.58348,-34.18417,-56.14476,-57.01242
1243,56.423,-52.41915,-38.18289,-53.00721,-52.86772
1263,56.423,-57.14728,-36.97899,-56.01765,-57.01432
1283,56.423,-52.20067,-37.24745,-50.53287,-53.0633
1303,56.423,-56.3919,-39.26356,-56.781,-56.93454
1323,56.423,-57.92483,-36.13407,-60.07677,-59.24644
1343,56.423,-66.54297,-43.00432,-60.59849,-57.43122
1363,56.423,-64.34066,-44.81498,-59.69355,-56.85796
1383,56.423,-55.56543,-43.52435,-56.94519,-56.38186
1403,56.423,-75.0669,-43.72563,-66.20176,-62.44166
1423,56.423,-56.8545,-37.25748,-58.72356,-59.84281
1443,56.423,-58.07189,-36.46927,-56.04237,-57.55547
1463,56.423,-63.95367,-44.97358,-60.80431,-60.13702
1483,56.423,-62.061,-43.62847,-59.29268,-59.24941
1503,56.423,-52.85681,-40.32694,-54.53238,-53.90829
1523,56.423,-57.87493,-36.18953,-54.96106,-56.91044
1543,56.423,-65.18613,-45.26806,-66.23502,-69.24537
1563,56.423,-55.77653,-40.44604,-54.78149,-56.1168
1583,56.423,-58.75137,-37.61488,-55.87958,-57.66299
1603,56.423,-56.50216,-38.79379,-58.50907,-63.07927
1623,56.423,-61.98424,-43.21299,-62.12941,-62.80191
1643,56.423,-57.72032,-42.76325,-56.06347,-55.2322
1663,56.423,-56.36673,-35.55998,-55.9501,-57.414
1683,56.423,-63.79333,-37.54553,-61.74014,-62.50983
1703,56.423,-55.67119,-42.84881,-59.73316,-59.51585
1723,56.423,-54.21175,-39.39036,-57.47899,-58.5673
1743,56.423,-55.25252,-34.693,-55.0598,-54.10453
1763,56.423,-58.1105,-38.18735,-57.96298,-57.88424
1783,56.423,-57.51293,-34.22961,-58.68313,-60.93241
1803,56.423,-62.41217,-39.02472,-60.18788,-60.55379
1823,56.423,-53.26231,-38.19592,-55.12649,-54.34295
1843,56.423,-55.52683,-40.15796,-55.52586,-53.76456
1863,56.423,-59.64041,-38.56323,-60.10795,-59.66904
1883,56.423,-50.85925,-35.99742,-53.30117,-53.6916
1903,56.423,-52.9876,-33.72314,-49.83644,-48.39885
1923,56.423,-56.99726,-36.37656,-54.16554,-54.56731
1943,56.423,-57.12504,-38.97144,-57.69264,-59.34311
1963,56.423,-56.78707,-37.7105,-56.77277,-56.76249
1983,56.423,-59.76712,-37.71619,-60.71162,-63.70876
