tid,gamma,trueage,relmid,impsamp,freqonly
1,100,-150.11384,-21.82557,-71.16151,-208.06909
2,74.989,-80.13403,-52.55144,-71.09716,-153.9901
3,56.423,-56.0967,-11.68647,-44.68468,-66.44918
4,42.17,-46.42125,-25.99823,-44.48971,-57.50899
5,31.623,-30.98453,-20.601,-30.65912,-36.11226
6,23.714,-19.74115,-11.57637,-19.94459,-19.94294
7,17.783,-17.45953,-11.89671,-17.69724,-18.01613
8,13.335,-15.33531,-11.26429,-18.66243,-19.30015
9,10,-9.16935,-7.53186,-9.69271,-10.06995
10,7.499,-6.48938,-6.23312,-7.83015,-7.22334
11,5.623,-5.03699,-4.7326,-5.75758,-5.37326
12,4.217,-4.48278,-3.89488,-5.43417,-5.04092
13,3.162,-2.84403,-3.20348,-3.61833,-2.95816
14,2.371,-1.9194,-1.99459,-2.34972,-1.93725
15,1.778,-1.48527,-1.57303,-2.02965,-1.45534
16,1.334,-1.541,-1.69764,-1.9891,-1.65918
17,1,-1.18383,-1.44809,-1.73152,-1.24917
18,0.332,-0.51078,-0.757,-0.93621,-0.60794
19,0.005,0.06592,0.26079,0.27485,0.00353
20,0,-0.78995,-4.9676,-5.79026,-4.27663
21,100,-47.87603,-17.77015,-39.25463,-50.72569
22,74.989,-82.86124,-46.59652,-60.77021,-60.20873
23,56.423,-58.99881,-28.27958,-41.5445,-64.81367
24,42.17,-36.70788,-11.78308,-30.53603,-32.21479
25,31.623,-25.54977,-14.76943,-28.36432,-33.86851
26,23.714,-23.64167,-14.77502,-27.84132,-28.07169
27,17.783,-17.19585,-10.95623,-16.98327,-21.74768
28,13.335,-11.89301,-8.02024,-10.75798,-10.37267
29,10,-9.90184,-8.10183,-10.4649,-9.84035
30,7.499,-7.47575,-7.61665,-9.97422,-8.57004
31,5.623,-6.22586,-5.79373,-6.89941,-5.73514
32,4.217,-3.42219,-3.51983,-4.33815,-3.8308
33,3.162,-3.09712,-3.26343,-3.83583,-3.22191
34,2.371,-2.3207,-2.53028,-3.04803,-2.43058
35,1.778,-1.98605,-2.10721,-2.64574,-2.1496
36,1.334,-1.30098,-1.23777,-1.69573,-1.25223
37,1,-1.08425,-1.34143,-1.5509,-1.09753
38,0.332,-0.69315,-0.75848,-1.03083,-0.75259
39,0.005,,,,
40,0,-0.90046,-5.08972,-5.77825,-4.3026
41,100,-80.20032,-26.87326,-49.70403,-73.39753
42,74.989,-83.47509,-12.34456,-74.58027,-137.90533
43,56.423,-55.16624,-27.5316,-42.42861,-44.3193
44,42.17,-46.24396,-14.77244,-29.19519,-45.84682
45,31.623,-34.69186,-17.69809,-30.39081,-34.60318
46,23.714,-29.7488,-19.35024,-32.60948,-37.94116
47,17.783,-17.7161,-10.27421,-15.85374,-16.02841
48,13.335,-12.66344,-9.14859,-12.69041,-12.29543
49,10,-10.73583,-8.72639,-11.9131,-11.89157
50,7.499,-8.53593,-6.13375,-9.30397,-9.05102
51,5.623,-5.01921,-4.45152,-5.59891,-5.02951
52,4.217,-4.87125,-4.04977,-5.18066,-4.62801
53,3.162,-2.97932,-2.99207,-3.51999,-3.12553
54,2.371,-2.06036,-2.06821,-2.39734,-1.99921
55,1.778,-1.68295,-1.71396,-2.04523,-1.69463
56,1.334,-0.96668,-1.05504,-1.45495,-1.0654
57,1,-0.92623,-0.98894,-1.37119,-1.0493
58,0.332,-0.41359,-0.58698,-0.74353,-0.51412
59,0.005,0.43733,1.24162,2.64314,0.34894
60,0,0.16421,-6.28711,-8.00692,-5.91866
61,100,,,,
62,74.989,-85.65105,-33.06191,-52.78337,-107.84422
63,56.423,-53.19608,-27.00512,-39.83844,-70.12149
64,42.17,-36.26246,-14.36398,-25.90129,-31.46268
65,31.623,-23.15069,-17.14844,-21.30235,-21.4629
66,23.714,-25.87217,-12.98835,-21.81181,-20.51658
67,17.783,-21.50209,-11.42922,-20.29382,-22.97344
68,13.335,-15.16558,-11.51979,-16.12935,-15.05842
69,10,-9.61147,-7.30045,-10.04897,-10.23884
70,7.499,-7.92218,-7.53903,-9.50068,-8.34861
71,5.623,-5.28964,-5.21363,-6.65931,-6.02488
72,4.217,-2.74607,-3.23889,-4.00869,-3.39466
73,3.162,-3.28549,-3.35138,-3.88681,-3.30667
74,2.371,-2.62342,-2.63775,-3.13195,-2.76088
75,1.778,-1.66167,-1.72369,-2.10327,-1.67004
76,1.334,-1.04329,-1.26561,-1.58725,-1.28751
77,1,-0.94181,-0.88925,-1.28093,-1.01886
78,0.332,-0.08881,0.01431,-0.26118,-0.17569
79,0.005,-0.07569,0.12963,-0.29927,-0.15208
80,0,-0.58186,-4.80788,-5.53715,-4.08245
81,100,-204.31798,-99.11425,-106.19084,-73.60009
82,74.989,-80.19475,-33.71446,-44.91349,-79.98289
83,56.423,-60.8004,-29.3737,-43.401,-82.7211
84,42.17,-39.0692,-19.99935,-38.37536,-45.38639
85,31.623,-34.16416,-22.1804,-32.13517,-45.63307
86,23.714,-24.13282,-19.0541,-25.93447,-29.33554
87,17.783,-13.77788,-11.09399,-14.81135,-13.38678
88,13.335,-11.96388,-7.94787,-12.52475,-12.38317
89,10,-9.37352,-7.27583,-9.69227,-8.8846
90,7.499,-7.29169,-6.5154,-8.40445,-7.39125
91,5.623,-5.39068,-5.08112,-6.10021,-5.43041
92,4.217,-3.77128,-4.40079,-5.47494,-4.82877
93,3.162,-2.923,-3.02066,-3.46082,-2.7998
94,2.371,-2.16832,-2.41052,-2.63021,-2.336
95,1.778,-1.81281,-1.8701,-2.34831,-1.82684
96,1.334,-1.20452,-1.31772,-1.7682,-1.28336
97,1,-1.1982,-1.41315,-1.6538,-1.32686
98,0.332,0.3182,0.88291,2.64466,0.21619
99,0.005,0.26637,0.61358,1.96415,0.17566
100,0,-1.01669,-5.67576,-6.66011,-5.33134
101,100,,,,
102,74.989,-45.25226,-31.95467,-40.93893,-36.84837
103,56.423,-70.35887,-30.5419,-58.20383,-87.83154
104,42.17,-48.22559,-16.22635,-35.61033,-56.83051
105,31.623,-23.80059,-13.24697,-23.16928,-22.18816
106,23.714,-24.88871,-13.93746,-22.07169,-27.21431
107,17.783,-15.31806,-9.99747,-16.90063,-18.25007
108,13.335,-13.18231,-8.87602,-13.57437,-15.60523
109,10,-8.57864,-7.52833,-9.46427,-8.64886
110,7.499,-6.88773,-5.50294,-7.69442,-6.97012
111,5.623,-5.67898,-4.87811,-6.40208,-5.56151
112,4.217,-3.65217,-4.29723,-5.10023,-4.76519
113,3.162,-2.88956,-3.18475,-3.69219,-2.95192
114,2.371,-2.80517,-2.91492,-3.54436,-2.91088
115,1.778,-2.18704,-2.4174,-2.78778,-2.41152
116,1.334,-1.30109,-1.46437,-1.74342,-1.30293
117,1,-0.8837,-0.76627,-1.18324,-0.83342
