tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
91,5.623,-5.39068,-5.08112,-6.06724,-5.43041,-6.53895
92,4.217,-3.77128,-4.40079,-5.4502,-4.82877,-5.96413
93,3.162,-2.923,-3.02066,-3.44952,-2.7998,-3.67056
94,2.371,-2.16832,-2.41052,-2.61799,-2.336,-2.90566
95,1.778,-1.81281,-1.8701,-2.33847,-1.82684,-2.5414
96,1.334,-1.20452,-1.31772,-1.76984,-1.28336,-1.96401
97,1,-1.1982,-1.41315,-1.66502,-1.32686,-1.89376
98,0.332,0.3182,0.88291,2.67183,0.21619,4.00075
99,0.005,0.26637,0.61358,1.95452,0.17566,3.50816
100,0,-1.01669,-5.67576,-6.66379,-5.33134,-7.15798
101,100,,,,,
102,74.989,-45.25226,-31.95467,-40.89473,-36.84837,-40.74436
103,56.423,-70.35887,-30.5419,-58.24969,-87.83154,-56.05757
104,42.17,-48.22559,-16.22635,-35.88843,-56.83051,-36.99688
105,31.623,-23.80059,-13.24697,-23.12926,-22.18816,-23.94711
106,23.714,-24.88871,-13.93746,-21.9264,-27.21431,-23.22425
107,17.783,-15.31806,-9.99747,-16.83246,-18.25007,-17.91724
108,13.335,-13.18231,-8.87602,-13.45298,-15.60523,-14.8071
109,10,-8.57864,-7.52833,-9.48913,-8.64886,-10.19493
110,7.499,-6.88773,-5.50294,-7.64451,-6.97012,-8.30329
111,5.623,-5.67898,-4.87811,-6.32609,-5.56151,-6.91967
112,4.217,-3.65217,-4.29723,-5.13644,-4.76519,-5.53973
113,3.162,-2.88956,-3.18475,-3.68274,-2.95192,-3.94568
114,2.371,-2.80517,-2.91492,-3.52986,-2.91088,-3.80142
115,1.778,-2.18704,-2.4174,-2.79986,-2.41152,-3.1024
116,1.334,-1.30109,-1.46437,-1.75258,-1.30293,-1.91124
117,1,-0.8837,-0.76627,-1.18275,-0.83342,-1.38828
118,0.332,-0.24099,0.0403,-0.43176,-0.31961,-0.60095
119,0.005,-0.04868,-0.06138,-0.29053,-0.10487,-0.45103
120,0,0.93702,-3.69735,-4.19809,-2.86869,-4.38609
121,100,-116.21597,-38.53919,-59.24252,-127.27557,-57.89406
122,74.989,-86.46487,-33.09305,-44.97644,-57.50495,-44.68468
123,56.423,-71.37956,-27.17869,-49.3429,-97.42479,-49.42798
124,42.17,-40.94771,-12.74359,-44.85299,-59.95702,-45.01099
125,31.623,-25.88412,-16.08395,-26.66041,-35.66987,-28.16841
126,23.714,-22.82594,-17.83195,-23.15126,-21.57351,-23.98837
127,17.783,-16.8932,-11.24761,-15.58458,-14.96918,-16.79399
128,13.335,-13.16373,-9.72272,-13.65345,-11.9494,-14.77956
129,10,-9.80952,-6.75858,-10.17289,-10.04768,-11.08023
130,7.499,-6.82044,-6.18816,-7.51219,-6.63377,-8.12406
131,5.623,-6.12278,-5.24518,-6.96181,-6.29851,-7.62916
132,4.217,-4.3662,-4.19307,-5.22164,-4.95139,-5.64691
133,3.162,-3.05639,-3.18586,-3.78254,-3.3674,-4.09868
134,2.371,-2.16986,-2.56033,-3.06319,-2.44682,-3.29373
135,1.778,-1.85704,-2.08122,-2.52479,-1.94148,-2.75422
136,1.334,-1.36664,-1.54759,-1.81715,-1.4992,-2.04476
137,1,-0.83437,-0.94058,-1.25563,-0.9452,-1.47117
138,0.332,-0.10468,-0.05363,-0.19728,-0.17912,-0.3465
139,0.005,0.05201,0.25537,1.90637,0.00277,3.76137
140,0,-0.13404,-7.04209,-8.73021,-6.39381,-9.31125
141,100,-40.98187,-37.3202,-39.97632,-21.22972,-39.82647
142,74.989,-59.74324,-30.88238,-40.18414,-61.20937,-40.38296
143,56.423,-61.11148,-28.89933,-44.09427,-54.14956,-44.07585
144,42.17,-32.63565,-24.18717,-33.81543,-31.08833,-34.27369
145,31.623,-27.46539,-10.33625,-21.86807,-27.00672,-23.18153
146,23.714,-27.05061,-15.85286,-24.14477,-23.91317,-25.116
147,17.783,-15.66714,-12.30772,-16.37025,-19.54043,-17.54276
148,13.335,-13.40643,-9.34025,-12.30956,-11.95093,-13.26416
149,10,-11.15406,-8.44799,-12.08959,-13.08518,-13.15564
150,7.499,-8.6206,-7.99104,-10.11359,-8.9558,-10.85197
151,5.623,-5.08569,-4.76599,-5.749,-4.89438,-6.24572
152,4.217,-4.09589,-4.23376,-5.22857,-4.54197,-5.69019
153,3.162,-2.67938,-2.95383,-3.36802,-2.99261,-3.62916
154,2.371,-1.83719,-1.91224,-2.12817,-1.83303,-2.35806
155,1.778,-1.4783,-1.53932,-1.98747,-1.4315,-2.17984
156,1.334,-1.19038,-1.37847,-1.65576,-1.2777,-1.85758
157,1,-0.88311,-1.07802,-1.32486,-0.97064,-1.53109
158,0.332,-0.30872,-0.05595,-0.55356,-0.3667,-0.71485
159,0.005,0.26086,0.7038,2.65179,0.17488,4.0336
160,0,0.00545,-3.4953,-4.25828,-3.27471,-4.51774
161,100,-84.39636,-14.11518,-42.95404,-82.1006,-43.20286
162,74.989,-97.51012,-47.90134,-69.70154,-343.45202,-66.46573
163,56.423,-36.4859,-8.78737,-39.63056,-31.86324,-39.58463
164,42.17,-44.67769,-35.54619,-46.29912,-50.22112,-45.85274
165,31.623,-21.03797,-15.27758,-20.01593,-18.25019,-21.06676
166,23.714,-25.02459,-13.80668,-23.30622,-25.67009,-24.58541
167,17.783,-16.61092,-11.59982,-17.36571,-17.48089,-18.65695
168,13.335,-8.98453,-10.01428,-11.63567,-10.28812,-12.41826
169,10,-10.6289,-7.50775,-10.65058,-10.4427,-11.58076
170,7.499,-7.03581,-6.57668,-8.65134,-7.23398,-9.41032
171,5.623,-5.51725,-4.73594,-5.73667,-4.99306,-6.18371
172,4.217,-4.33816,-4.33887,-5.43857,-4.768,-5.92068
173,3.162,-2.72676,-2.76433,-3.2643,-2.74415,-3.52842
174,2.371,-2.273,-2.72671,-3.18991,-2.5066,-3.45383
175,1.778,-1.38193,-1.35199,-1.85025,-1.39379,-2.05315
