tid,gamma,trueage,freqonly
1,100,-106.90372,-99.80493
2,85.77,-92.04358,-86.72801
3,73.564,-79.19297,-77.72676
4,63.096,-66.75081,-66.46046
5,54.117,-56.71818,-57.54217
6,46.416,-45.34844,-46.5271
7,39.811,-38.50644,-38.80814
8,34.145,-37.1892,-38.34769
9,29.286,-29.96577,-30.7625
10,25.119,-26.55843,-28.42867
11,21.544,-23.81008,-23.51252
12,18.478,-20.51435,-20.566
13,15.849,-17.57989,-17.15266
14,13.594,-14.34416,-14.00009
15,11.659,-12.33334,-12.13048
16,10,-12.17514,-11.67793
17,8.577,-9.36229,-9.15354
18,7.356,-8.20928,-7.15807
19,6.31,-7.93061,-6.83363
20,5.412,-6.16172,-4.62851
21,4.642,-5.40038,-3.80109
22,3.981,-5.37126,-3.00138
23,3.415,-4.29908,-1.63243
24,2.929,-3.9974,-1.28515
25,2.512,-3.42481,-0.24915
26,2.154,-1.90054,2.48904
27,1.848,-2.62662,1.19544
28,1.585,-2.15179,1.94751
29,1.359,-1.53646,3.10135
30,1.166,-1.18412,3.94664
31,1,-1.77795,2.81676
32,0.457,-1.47579,3.41352
33,0.152,2.12272,8.2719
34,0.023,0.49718,6.57262
35,0,-0.268,5.41704
36,100,-109.41584,-103.89072
37,85.77,-93.38313,-90.16194
38,73.564,-79.36172,-74.26323
39,63.096,-65.96895,-64.70674
40,54.117,-54.62765,-56.23448
41,46.416,-48.42996,-48.95776
42,39.811,-40.53696,-41.96194
43,34.145,-34.55111,-34.69879
44,29.286,-30.98984,-31.89756
45,25.119,-25.69957,-26.71724
46,21.544,-24.17011,-24.23563
47,18.478,-18.88527,-18.54255
48,15.849,-17.58585,-17.60559
49,13.594,-15.24387,-15.87756
50,11.659,-13.68083,-13.40932
51,10,-11.70018,-11.74319
52,8.577,-9.6606,-8.99254
53,7.356,-8.89043,-7.73277
54,6.31,-7.80428,-6.89625
55,5.412,-6.40275,-4.82041
56,4.642,-5.10154,-3.07097
57,3.981,-5.35616,-3.79642
58,3.415,-4.03411,-1.39843
59,2.929,-3.3569,-0.25592
60,2.512,-3.09467,0.17685
61,2.154,-2.59396,1.3798
62,1.848,-2.637,0.9112
63,1.585,-1.40987,3.49125
64,1.359,-1.24636,3.9389
65,1.166,-1.78366,2.42108
66,1,-1.32188,3.47841
67,0.457,-0.27587,5.48111
68,0.152,0.10352,5.9495
69,0.023,0.16978,6.13952
70,0,1.00178,7.15327
71,100,-109.33644,-98.39863
72,85.77,-92.03408,-88.55148
73,73.564,-80.78065,-77.93842
74,63.096,-66.75404,-66.30586
75,54.117,-56.04887,-55.9454
76,46.416,-49.10895,-48.36466
77,39.811,-41.32903,-44.03206
78,34.145,-35.11733,-36.14768
79,29.286,-31.09115,-31.17181
80,25.119,-25.98317,-26.89634
81,21.544,-22.75222,-22.84503
82,18.478,-19.32493,-19.37325
83,15.849,-17.78173,-17.45754
84,13.594,-14.71378,-14.6878
85,11.659,-13.064,-12.62667
86,10,-10.61911,-10.68845
87,8.577,-10.731,-10.18687
88,7.356,-8.89803,-8.29968
89,6.31,-7.19108,-6.11456
90,5.412,-6.6132,-5.40401
91,4.642,-5.9697,-4.56791
92,3.981,-4.76396,-2.5464
93,3.415,-4.146,-1.85823
94,2.929,-3.64122,-0.54066
95,2.512,-3.18981,0.2178
96,2.154,-3.01355,0.57293
97,1.848,-2.23755,1.8401
98,1.585,-2.3255,1.95121
99,1.359,-1.92778,2.46906
100,1.166,-1.50808,3.3148
101,1,-1.28654,3.86653
102,0.457,-0.24231,5.4933
103,0.152,0.20264,6.07169
104,0.023,0.16028,6.08585
105,0,5.17218,8.0587
106,100,-109.27365,-99.21161
107,85.77,-92.93194,-88.64253
108,73.564,-76.13801,-74.45734
109,63.096,-64.97971,-63.65161
110,54.117,-55.82531,-55.41193
111,46.416,-46.00527,-47.2758
112,39.811,-38.76727,-42.08001
113,34.145,-34.03228,-35.3405
114,29.286,-30.07057,-30.84279
115,25.119,-24.62268,-25.77558
116,21.544,-21.71314,-22.19167
117,18.478,-20.52551,-20.85275
118,15.849,-17.61477,-17.80491
119,13.594,-15.75066,-15.22447
120,11.659,-13.29552,-12.88012
121,10,-11.23473,-11.18443
122,8.577,-9.85533,-9.33598
123,7.356,-9.32596,-8.54522
124,6.31,-7.51932,-6.26811
125,5.412,-6.80883,-5.58301
126,4.642,-5.53635,-3.86064
127,3.981,-4.73236,-2.41271
128,3.415,-4.13858,-1.61239
129,2.929,-3.94961,-1.18854
130,2.512,-4.14006,-1.39601
131,2.154,-2.14887,2.22664
132,1.848,-1.89031,2.71136
133,1.585,-1.65417,2.85918
134,1.359,-1.86943,2.63941
135,1.166,-1.60198,2.93807
136,1,-1.23407,3.6219
137,0.457,-0.4443,5.1645
138,0.152,-0.14255,5.61477
139,0.023,0.07017,6.19294
140,0,5.99371,7.65046
141,100,-111.51221,-103.24889
142,85.77,-98.94839,-92.1353
143,73.564,-80.96415,-76.05588
144,63.096,-65.97528,-63.88877
145,54.117,-57.86686,-56.9369
146,46.416,-47.83524,-47.0744
147,39.811,-40.46895,-41.61048
148,34.145,-34.48222,-35.78275
149,29.286,-30.40573,-30.82324
150,25.119,-26.87654,-27.27724
151,21.544,-21.95379,-23.02277
152,18.478,-19.79657,-20.34668
153,15.849,-17.19787,-17.74592
154,13.594,-15.50329,-15.28422
155,11.659,-13.27044,-13.22952
156,10,-11.29769,-10.65179
157,8.577,-10.12528,-9.73614
158,7.356,-8.71909,-8.08525
159,6.31,-8.61262,-7.7302
160,5.412,-6.56119,-5.21301
161,4.642,-5.61096,-3.84457
162,3.981,-4.64628,-2.73936
163,3.415,-4.0346,-1.29052
164,2.929,-3.37034,-0.17524
165,2.512,-2.97997,0.50088
166,2.154,-2.80434,0.8958
167,1.848,-2.52165,1.204
168,1.585,-2.33808,1.842
169,1.359,-1.39837,3.53267
170,1.166,-1.69445,2.79182
171,1,-2.04259,2.10196
172,0.457,-0.35851,5.58017
173,0.152,0.63978,6.9233
174,0.023,0.99981,6.78156
175,0,0.50933,6.44441
176,100,-114.57844,-105.32993
177,85.77,-90.41368,-87.71982
178,73.564,-79.55035,-75.5147
179,63.096,-65.60536,-65.09919
180,54.117,-56.56816,-56.05517
181,46.416,-49.97192,-51.78981
182,39.811,-39.96867,-40.37354
183,34.145,-35.25027,-36.1801
184,29.286,-29.81012,-30.52122
185,25.119,-26.1815,-26.7564
186,21.544,-22.17855,-22.21131
187,18.478,-18.89311,-19.547
188,15.849,-16.81668,-16.58528
