tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1001,100,NaN,NaN,NaN,NaN,NaN
1002,74.989,-70.11648,-36.09541,-68.83014,-73.77119,-86.47582
1003,56.423,-50.6575,-27.82611,-59.09386,-57.56978,-73.09827
1004,42.17,-40.20333,-28.07153,-44.06246,-36.79589,-51.68897
1005,31.623,-30.59783,-20.26004,-32.81207,-32.18169,-40.17346
1006,23.714,-22.97504,-15.67194,-28.22157,-25.84347,-34.06309
1007,17.783,-16.53952,-12.40267,-18.19869,-16.74015,-21.18484
1008,13.335,-13.45036,-8.95246,-13.84274,-12.99476,-16.16556
1009,10,-9.69938,-8.15445,-10.95962,-10.2871,-12.6331
1010,7.499,-7.29756,-6.44889,-8.01089,-7.0202,-9.02531
1011,5.623,-6.31131,-6.07804,-7.23464,-6.31884,-8.04415
1012,4.217,-4.14121,-4.19137,-4.75595,-4.11099,-5.22668
1013,3.162,-2.9699,-3.17628,-3.6101,-3.12063,-3.95358
1014,2.371,-2.07041,-2.1341,-2.55078,-2.17566,-2.83202
1015,1.778,-1.75746,-1.70818,-2.0906,-1.70394,-2.30846
1016,1.334,-1.37979,-1.39829,-1.61883,-1.3855,-1.8283
1017,1,-1.03482,-1.08422,-1.3403,-1.11187,-1.51511
1018,0.332,-0.37923,-0.43132,-0.65937,-0.47058,-0.80962
1019,0.005,-0.11648,0.0898,-0.26814,-0.17424,-0.36314
1020,0,0.3406,0.67656,0.88359,0.29,3.44202
1021,100,-96.04831,-41.47011,-89.92711,-92.3908,-112.31148
1022,74.989,-74.30269,-28.91042,-76.79353,-82.78548,-95.28661
1023,56.423,-52.38651,-27.24897,-53.85433,-52.73261,-65.45362
1024,42.17,-39.67888,-20.18049,-37.64942,-40.22179,-46.64422
1025,31.623,-31.2376,-19.43122,-31.9222,-34.29015,-39.48596
1026,23.714,-26.32421,-14.92751,-26.33832,-27.17662,-32.41658
1027,17.783,-17.55832,-12.35199,-19.56527,-17.70693,-23.18291
1028,13.335,-12.69752,-9.0152,-13.52146,-13.63236,-15.59875
1029,10,-9.5191,-8.47748,-10.93835,-9.8104,-12.45073
1030,7.499,-7.73917,-7.11744,-9.48244,-8.69722,-10.98518
1031,5.623,-6.57918,-5.82223,-7.08026,-6.55103,-7.9337
1032,4.217,-3.4583,-3.62002,-4.35229,-3.64459,-4.77459
1033,3.162,-3.03221,-2.89378,-3.46303,-3.06145,-3.80595
1034,2.371,-2.6664,-2.67059,-3.12609,-2.63056,-3.42565
1035,1.778,-1.73553,-1.47806,-1.93413,-1.67613,-2.11614
1036,1.334,-1.47983,-1.55972,-1.93207,-1.59511,-2.12039
1037,1,-1.2248,-1.007,-1.50474,-1.23055,-1.71568
1038,0.332,-0.31607,-0.27713,-0.61265,-0.36753,-0.73107
1039,0.005,-0.20048,-0.19931,-0.47939,-0.26955,-0.6001
1040,0,-0.23601,-0.05994,-0.40696,-0.25703,-0.51881
1041,100,-98.81453,-55.05969,-105.66109,-113.0789,-132.62345
1042,74.989,-75.27582,-39.07177,-73.56081,-82.16083,-89.20335
1043,56.423,-61.12518,-34.07181,-60.25854,-58.93946,-73.21835
1044,42.17,-48.95865,-21.35285,-48.96167,-47.84928,-61.11773
1045,31.623,-32.31302,-21.5026,-34.04089,-34.77617,-41.08543
1046,23.714,-22.26995,-14.93557,-24.82675,-25.10213,-29.98642
1047,17.783,-17.75451,-10.79758,-17.20401,-18.53965,-20.65068
1048,13.335,-11.33481,-9.17125,-12.57525,-12.00832,-14.71721
1049,10,-9.89074,-8.39139,-10.66377,-10.00404,-12.32901
1050,7.499,-6.91836,-5.99592,-7.60479,-6.826,-8.57097
1051,5.623,-5.69491,-5.05388,-6.19844,-6.02678,-6.9658
1052,4.217,-4.37975,-5.07371,-6.05159,-5.91798,-6.79696
1053,3.162,-2.53343,-2.71381,-3.19766,-2.57978,-3.49222
1054,2.371,-2.27062,-2.30507,-2.69104,-2.23638,-2.9772
1055,1.778,-1.58177,-1.67585,-1.94877,-1.72009,-2.19681
1056,1.334,-1.49925,-1.55452,-1.86494,-1.50133,-2.06251
1057,1,-1.23197,-1.29321,-1.55093,-1.25131,-1.74143
1058,0.332,-0.77119,-0.77975,-1.10025,-0.82992,-1.25625
1059,0.005,-0.33433,-0.42633,-0.59637,-0.43685,-0.73707
1060,0,0.1039,0.38123,0.17685,0.04001,0.24118
1061,100,NaN,NaN,NaN,NaN,NaN
1062,74.989,-75.25308,-37.11909,-73.94147,-75.82951,-91.50549
1063,56.423,-49.74916,-32.88588,-52.46893,-52.82616,-63.86197
1064,42.17,-44.89915,-24.76209,-44.82855,-45.18044,-54.271
1065,31.623,-30.48144,-18.82714,-30.11081,-27.58308,-35.48795
1066,23.714,-24.55767,-17.42557,-27.1724,-27.20477,-32.81371
1067,17.783,-15.88787,-12.75828,-17.34846,-16.06572,-20.45428
1068,13.335,-12.49025,-8.80263,-12.23004,-11.87665,-14.21544
1069,10,-9.7436,-9.32876,-11.53853,-9.68673,-12.85727
1070,7.499,-7.38114,-6.78969,-8.46025,-7.88112,-9.61241
1071,5.623,-5.97665,-5.99519,-7.29579,-6.20166,-8.10762
1072,4.217,-4.0211,-4.05419,-4.86062,-4.08608,-5.29784
1073,3.162,-2.71484,-2.83534,-3.20605,-2.79729,-3.50804
1074,2.371,-1.92413,-2.01919,-2.38402,-2.05471,-2.62578
1075,1.778,-2.22603,-2.448,-2.79144,-2.34652,-3.0446
1076,1.334,-1.39774,-1.39621,-1.82166,-1.40975,-1.9918
1077,1,-0.98549,-0.88745,-1.32527,-1.06835,-1.49261
1078,0.332,-0.28625,-0.24883,-0.44326,-0.30957,-0.55941
1079,0.005,-0.30688,0.02772,-0.46268,-0.34564,-0.58787
1080,0,-0.02426,0.1545,-0.12194,-0.0692,-0.18481
1081,100,-93.4367,-46.49556,-92.40601,-93.41363,-114.88952
1082,74.989,-69.61934,-35.40699,-68.2281,-64.5208,-83.1245
1083,56.423,-51.26096,-32.07495,-53.35639,-51.70482,-63.70873
1084,42.17,-49.08008,-28.86225,-50.38404,-50.71741,-62.06042
1085,31.623,-30.61832,-17.71122,-31.71436,-35.59097,-39.21985
1086,23.714,-25.39164,-15.04073,-24.89115,-23.84782,-30.37634
1087,17.783,-17.98323,-10.72682,-17.65422,-16.89967,-20.75739
1088,13.335,-10.99261,-9.96074,-12.52609,-11.78627,-14.3315
1089,10,-10.4156,-8.06051,-10.97167,-10.75186,-12.90063
1090,7.499,-8.60737,-7.74137,-9.35383,-8.59421,-10.55716
1091,5.623,-5.46517,-4.93138,-6.23322,-5.87569,-6.99097
1092,4.217,-3.84648,-3.9987,-4.72916,-4.04233,-5.18812
1093,3.162,-3.11693,-3.22184,-3.68893,-3.1252,-4.02355
1094,2.371,-2.37627,-2.39131,-2.93697,-2.42757,-3.22212
1095,1.778,-1.8045,-1.81778,-2.18318,-1.86846,-2.43238
1096,1.334,-1.3274,-1.40743,-1.66168,-1.33869,-1.8493
1097,1,-1.01609,-1.11694,-1.33556,-1.04252,-1.49247
1098,0.332,-0.28008,-0.37057,-0.58913,-0.35305,-0.72818
1099,0.005,0.24092,0.57907,0.52008,0.18708,3.3362
1100,0,0.12594,0.21039,0.10627,0.06014,0.15159
1101,100,-101.41975,-49.6137,-96.16358,-106.07083,-116.41213
1102,74.989,-72.56064,-28.99741,-73.01734,-75.88501,-89.47345
1103,56.423,-58.88064,-27.83924,-53.24265,-57.62022,-66.01218
1104,42.17,-39.20861,-26.00415,-48.01953,-47.16135,-58.04282
1105,31.623,-37.79669,-22.50709,-38.90662,-39.30444,-46.65743
1106,23.714,-28.62921,-19.3605,-29.59345,-28.01457,-35.53835
1107,17.783,-19.66094,-12.58376,-21.18637,-21.3798,-25.23562
1108,13.335,-12.50262,-12.38195,-15.92387,-14.7606,-18.48502
