Xl,gamma,al
 2.200000e-03,-1.000000e-01, 9.974000e+03
 1.600000e-03,-6.812921e-02, 9.119000e+03
 8.000000e-04,-4.641589e-02, 3.475000e+03
 7.800000e-03,-3.162278e-02, 2.188800e+04
 6.400000e-03,-2.154435e-02, 1.569200e+04
 6.000000e-04,-1.467799e-02, 6.675000e+03
 2.600000e-03,-1.000000e-02, 6.733000e+03
 3.200000e-03, 1.000000e-02, 1.209100e+04
 1.000000e-03, 1.467799e-02, 5.305000e+03
 3.200000e-03, 2.154435e-02, 1.666600e+04
 1.800000e-03, 3.162278e-02, 1.504000e+04
 3.600000e-03, 4.641589e-02, 8.736000e+03
 1.000000e-03, 6.812921e-02, 1.258500e+04
 1.300000e-02, 1.000000e-01, 1.801900e+04
 4.000000e-04, 1.467799e-01, 2.512000e+03
 3.600000e-03, 2.154435e-01, 1.328400e+04
 1.400000e-03, 3.162278e-01, 1.456500e+04
 6.000000e-04, 4.641589e-01, 2.927000e+03
 6.200000e-03, 6.812921e-01, 1.039200e+04
 6.000000e-04, 1.000000e+00, 3.920000e+03
 2.000000e-03, 1.467799e+00, 7.269000e+03
 8.000000e-04, 2.154435e+00, 2.757000e+03
 6.400000e-03, 3.162278e+00, 9.649000e+03
 1.000000e-03, 4.641589e+00, 3.384000e+03
 6.000000e-04, 6.812921e+00, 7.970000e+02
 1.000000e-03, 1.000000e+01, 1.509000e+03
 1.400000e-03, 1.467799e+01, 1.491000e+03
 1.600000e-03, 2.154435e+01, 9.170000e+02
 8.000000e-04, 3.162278e+01, 3.470000e+02
 2.600000e-03, 4.641589e+01, 5.530000e+02
 8.000000e-04, 6.812921e+01, 1.960000e+02
 2.400000e-03, 1.000000e+02, 2.220000e+02
 2.920000e-02,-1.000000e+02, 4.930000e+02
 1.000000e-03,-6.812921e+01, 1.940000e+02
 2.800000e-03,-4.641589e+01, 5.970000e+02
 9.000000e-03,-3.162278e+01, 1.207000e+03
 2.600000e-03,-2.154435e+01, 1.418000e+03
 1.020000e-02,-1.467799e+01, 2.868000e+03
 1.600000e-03,-1.000000e+01, 1.941000e+03
 4.200000e-03,-6.812921e+00, 3.646000e+03
 9.400000e-03,-4.641589e+00, 8.782000e+03
 7.000000e-03,-3.162278e+00, 7.907000e+03
 6.000000e-04,-2.154435e+00, 6.873000e+03
 9.800000e-03,-1.467799e+00, 1.272700e+04
 5.200000e-03,-1.000000e+00, 9.940000e+03
 1.200000e-03,-6.812921e-01, 4.481000e+03
 5.000000e-03,-4.641589e-01, 1.890400e+04
 3.600000e-03,-3.162278e-01, 9.724000e+03
 1.800000e-03,-2.154435e-01, 1.448600e+04
 3.000000e-03,-1.467799e-01, 1.618400e+04
 7.400000e-03,-1.000000e-01, 1.236900e+04
