Xl,gamma,al
     0.006600,  -100.000000,   134.000000
     0.006050,  -100.000000,   121.000000
     0.005575,  -100.000000,   541.000000
     0.008425,  -100.000000,   222.000000
     0.019825,  -100.000000,   441.000000
     0.005975,  -100.000000,   459.000000
     0.008975,  -100.000000,   373.000000
     0.008500,  -100.000000,   141.000000
     0.008550,  -100.000000,    96.000000
     0.010875,  -100.000000,   647.000000
     0.005875,  -100.000000,   172.000000
     0.010050,  -100.000000,   510.000000
     0.022250,  -100.000000,  1027.000000
     0.008300,  -100.000000,   385.000000
     0.007750,  -100.000000,   345.000000
     0.008825,  -100.000000,   548.000000
     0.017050,  -100.000000,  1606.000000
     0.006350,  -100.000000,   351.000000
     0.011250,  -100.000000,   506.000000
     0.006625,  -100.000000,   262.000000
     0.005400,  -100.000000,   502.000000
     0.007675,  -100.000000,   819.000000
     0.005325,  -100.000000,   247.000000
     0.005250,  -100.000000,   569.000000
     0.008325,  -100.000000,   115.000000
     0.008100,  -100.000000,   165.000000
     0.005625,  -100.000000,   214.000000
     0.006150,  -100.000000,   480.000000
     0.007725,  -100.000000,   196.000000
     0.013575,  -100.000000,   490.000000
     0.006450,  -100.000000,   125.000000
     0.007825,  -100.000000,  1054.000000
     0.005775,  -100.000000,   237.000000
     0.008025,  -100.000000,   474.000000
     0.006575,  -100.000000,   134.000000
     0.006475,  -100.000000,   528.000000
     0.006900,  -100.000000,   283.000000
     0.006375,  -100.000000,    74.000000
     0.006725,  -100.000000,   246.000000
     0.010625,  -100.000000,   193.000000
     0.005950,  -100.000000,   556.000000
     0.007050,  -100.000000,   168.000000
     0.005400,  -100.000000,   128.000000
     0.006450,  -100.000000,   281.000000
     0.006150,  -100.000000,   436.000000
     0.006375,  -100.000000,   140.000000
     0.007600,  -100.000000,    61.000000
     0.006125,  -100.000000,   107.000000
     0.006100,  -100.000000,   543.000000
     0.007000,  -100.000000,   759.000000
     0.010275,  -100.000000,   397.000000
     0.010075,  -100.000000,   306.000000
     0.008650,  -100.000000,  1319.000000
     0.011150,  -100.000000,   349.000000
     0.006825,  -100.000000,   222.000000
     0.005250,  -100.000000,   146.000000
     0.005675,  -100.000000,   130.000000
     0.016200,  -100.000000,   412.000000
     0.009550,  -100.000000,   468.000000
     0.005450,  -100.000000,   175.000000
     0.012950,  -100.000000,   430.000000
     0.005950,  -100.000000,   104.000000
     0.006375,  -100.000000,   388.000000
     0.009400,  -100.000000,   470.000000
     0.012875,  -100.000000,   161.000000
